unittitle,function,ID
D'Ormesson,Personne,P2641
"D'Osmont, Le chevalier",Personne,P2645
Dagnonterras,Personne,P2655
Dandennes,Personne,P2689
"Danezay (alias Danezey), Demoiselles",Personne,P2690
"Dangeau, Marquis de",Personne,P2691
Danguy,Personne,P2698
Daniaud,Personne,P2700
"Dans, d'Hautefort",Personne,P2713
Dantragues,Personne,P2714
Dapremont,Personne,P2720
Darcambal,Personne,P2726
Darrieux,Personne,P2739
Daubarède,Personne,P2751
Daumont,Personne,P2767
Daverluy,Personne,P2774
David,Personne,P2777
Decamp,Personne,P2795
Dedoit,Personne,P2806
"Degascq, Blaise",Personne,P2811
"Degeat, Demoiselle",Personne,P2814
"Degremont, Antoine",Personne,P2817
"Deguerry D'Aumont, Le chevalier",Personne,P2818
Delacombe,Personne,P2826
Delacourt,Personne,P2834
Delacroix,Personne,P2835
Delafontaine,Personne,P2839
Delagarde,Personne,P2842
Delagny,Personne,P2846
Delisle,Personne,P2872
"Delisle, Sieur de",Personne,P2873
Dellerac,Personne,P2875
Deloche,Personne,P2877
Delorme,Personne,P2879
Demezi,Personne,P2889
Demuin,Personne,P2893
"Denonville, M. de",Personne,P2901
"Depont, Sarah",Personne,P2905
Déragny,Personne,P3646
"Desadrets, Le chevalier",Personne,P2929
Desanges,Personne,P2934
Desarcis,Personne,P2938
"Desaugiers, Le chevalier",Personne,P2940
Descartes,Personne,P2953
Deschauffours,Personne,P2967
Deschiens,Personne,P2969
Deschillais,Personne,P2970
"Desclouzeaux, Hubert de Champy",Personne,P2974
Descoyeux,Personne,P2982
Desfontaines,Personne,P2992
Desglereaux,Personne,P3001
"Desgoutières, Le chevalier",Personne,P3005
Desgouttins,Personne,P3013
Desgranges,Personne,P3014
Desgrassières,Personne,P3015
Desgua,Personne,P3020
Desherbiers,Personne,P3026
"Desherbiers, veuve",Personne,P3027
Desnos,Personne,P3054
Desnots,Personne,P3055
Desperbasque,Personne,P3061
Desperon,Personne,P3062
Desprez,Personne,P3070
Desursins,Personne,P3084
Devalles,Personne,P3088
"Devienne, Antoine",Personne,P3096
Deviliers,Personne,P3097
Deville,Personne,P3098
"Dido, Demoiselle",Personne,P3105
"Digoine, Le chevalier de",Personne,P3113
Dimanche,Personne,P3115
"Dirac, Sieur de",Personne,P3118
"Dode, Alexis dit La Feuillade",Personne,P3133
Dodun,Personne,P3135
Domergue,Personne,P3138
"Doncieu, Le chavalier",Personne,P3141
"Dorné, Jean",Personne,P3162
Dorogne,Personne,P3163
"Doson, Demoiselle",Personne,P3169
"Doustans, Demoiselle",Personne,P3180
"Douteau, Dame",Personne,P3182
Douzon,Personne,P3186
Drognon Terras,Personne,P3194
"Droguet, Louis",Personne,P3195
"Drouillard, Pierre",Personne,P3200
"Dubeignon, Henry Allaire",Personne,P3215
Dubois,Personne,P3217
Dubois de La Roche,Personne,P3221
Duboisneau,Personne,P3230
Dubouchet,Personne,P3233
Dubourry,Personne,P3243
Dubreuil,Personne,P3248
Dubreuil de Fonreaux,Personne,P3250
"Dubreuil, Alain",Personne,P3251
"Dubreuil, Madame",Personne,P3252
Dubreuillet,Personne,P3255
Dubrouillant (alias Du Brouillam),Personne,P3258
Dubuc,Personne,P3259
Ducasse,Personne,P3272
"Duchailloux, Antoine",Personne,P3278
"Duchastelet, Marquis",Personne,P3283
Duché,Personne,P3291
Duclerc,Personne,P3292
Dudresnay,Personne,P3316
"Dufay, Dixandun",Personne,P3323
Dufretoy,Personne,P3335
Duguay,Personne,P3348
Dugué,Personne,P3354
"Duhamel, Le chevalier de",Personne,P3359
Duhoc,Personne,P3362
Dulignon,Personne,P3373
Duloche,Personne,P3376
Dulyon (alias Dulion),Personne,P3379
Dumagnou,Personne,P3380
"Dumaine, Le Duc",Personne,P3383
Dumains,Personne,P3384
Dumaits,Personne,P3385
Dumartel,Personne,P3387
"Dumas, François",Personne,P3389
"Dumayne, Eléonore",Personne,P3393
Dumé d'Aplemont,Personne,P3430
"Dumesnil, Roland",Personne,P3400
"Dumont, Charles, sieur de Blaignac",Personne,P3416
Dumoulin,Personne,P3426
Dumoutier,Personne,P3429
Dunezat,Personne,P3434
Dunoguez,Personne,P3435
"Dupalais, Le Chevalier",Personne,P3437
Duparc,Personne,P3438
Dupaty,Personne,P3448
"Dupaty, Thibaud",Personne,P3449
Duperier,Personne,P3458
Duperrier,Personne,P3459
Dupille,Personne,P3464
"Duplessis-Liancourt, Le chevalier",Personne,P3482
Duplessis-Moreau,Personne,P3483
"Duplessy, Michel",Personne,P3484
Dupont de Veilleine,Personne,P3488
Dupontmarois,Personne,P3494
Duport,Personne,P3495
"Duport, Abraham et Etienne, frères",Personne,P3498
"Duprat, François et cie",Personne,P3504
"Dupré, François dit Belair",Personne,P3507
Duquesne,Personne,P3525
Durand,Personne,P3532
"Durand, veuve",Personne,P3545
Durepaire de Nayat,Personne,P3558
Duret,Personne,P3559
Durivau Huet,Personne,P3563
"Duroullet, Demoiselle",Personne,P3577
Duruau Pallu,Personne,P3581
Dusault,Personne,P3583
Dutartre,Personne,P3589
Dutast,Personne,P3590
Dutigné,Personne,P3598
Dutillet,Personne,P3599
Dutilleul,Personne,P3600
Duval,Personne,P3609
Duvalgris,Personne,P3615
"Duvignau (alias Duvigneau, Duvignaud)",Personne,P3629
Duville,Personne,P3634
Duvivier,Personne,P3636
"Duvivier, Thomas",Personne,P3639
"Duvivier, Veuve",Personne,P3641
"Encelin, Etienne",Personne,P3701
Escotières,Personne,P3711
"Estienne, Jean",Personne,P3720
Evêque de Saintes,Personne,P3728
Fabre,Personne,P3730
"Fabury, Sieur de",Personne,P3731
Faget,Personne,P3734
"Falaiza, Sieur de",Personne,P3739
Faucher,Personne,P3751
Faure,Personne,P3755
"Faureau, Demoiselle",Personne,P3764
"Favereau, Demoiselle",Personne,P3777
Fayet,Personne,P3784
Fecquaire,Personne,P3787
"Féron, Nicolas",Personne,P4070
"Ferran, Pierre",Personne,P3805
Ferrier,Personne,P3818
"Ferroles, M. de",Personne,P3823
Ferry,Personne,P3824
"Ferville, M. de",Personne,P3826
"Feuquerolles, Sieur de",Personne,P3831
"Feuquières, Sieur de",Personne,P3834
Flamand,Personne,P3850
Fleuran,Personne,P3860
Fleury,Personne,P3863
Flindre Choüamy,Personne,P3868
Folville,Personne,P3884
Fondalon,Personne,P3885
"Fontenu, Sieur de",Personne,P3915
"Forant, Fils",Personne,P3925
"Forant, Job",Personne,P3926
"Forant, Madame",Personne,P3927
"Forant, Mademoiselle",Personne,P3928
"Forbin, Le chevalier de",Personne,P3931
Forestier,Personne,P3937
"Forges, M. et Mme de",Personne,P3943
Forsan,Personne,P3950
Fortin,Personne,P3957
Fouger,Personne,P3974
"Fourchelasière, Etienne",Personne,P3982
"Foureau, Gilbert",Personne,P3987
France,Personne,P4017
François,Personne,P4027
Fresneau,Personne,P4037
"Frezeau de la Frezelière, Charles-Madeleine",Personne,P4039
Friquet,Personne,P4041
"Frontenac, Le Comte de",Personne,P4050
Gabaret,Personne,P4075
Gabaret d'Angoulins,Personne,P4079
Gabaret de La Mothe,Personne,P4082
"Gabaret, Jean",Personne,P4087
Gabet,Personne,P4092
Gabriau,Personne,P4101
"Gacé, Le Comte de",Personne,P4110
"Gacier, Nicolas",Personne,P4109
Gaillard,Personne,P4115
"Galiffet, Sieur de",Personne,P4126
"Gallet, Sébastien",Personne,P4132
Gallon (alias Gaallon),Personne,P4141
Gallot,Personne,P4142
"Galluay, Jacques",Personne,P4144
"Ganes, Sieur de",Personne,P4155
"Garcin, Etienne",Personne,P4168
Garnier,Personne,P4179
"Gaschet, Veuve Thomas",Personne,P4196
Gaschinard,Personne,P4197
Gascq,Personne,P4198
Gassier,Personne,P4203
"Gastines, Sieur de",Personne,P4210
Gaudeau,Personne,P4221
Gaultier,Personne,P4242
Gautier,Personne,P4249
"Gennes, Madame de",Personne,P4294
"Gennes, Sieur de",Personne,P4295
Gentet,Personne,P4299
Geret Foyès,Personne,P4313
Germain,Personne,P4314
"Gessein, Veuve",Personne,P4327
"Gibaudière, de",Personne,P4332
"Gibouleau, Elie",Personne,P4336
Gimbal,Personne,P4354
Girard,Personne,P4357
Girardeau,Personne,P4362
Giraud,Personne,P4366
"Giraud, Jacques",Personne,P4371
"Giraudet, Pierre",Personne,P4378
"Girault, Demoiselle",Personne,P4381
"Girouil, Antoine",Personne,P4390
"Gito, (alias Gitton)",Personne,P4395
"Giton, (alias Gitton)",Personne,P4396
"Givry, de",Personne,P4401
Godefroy,Personne,P4410
Godemar,Personne,P4413
"Godet, Mademoiselle",Personne,P4417
Goezaud,Personne,P4423
Gombaud,Personne,P4432
Gombaud (alias Gombauld),Personne,P4433
"Gombaud, Demoiselle Eléonore",Personne,P4436
"Gomelieu, Sieur de",Personne,P4441
Gomot,Personne,P4444
Gorry ,Personne,P4453
Gouëton,Personne,P4502
Goulet,Personne,P4470
Gouletti,Personne,P4472
Gourdin,Personne,P4482
Goy,Personne,P4503
"Graf, de",Personne,P4510
"Gramont, Le Duc de",Personne,P4517
"Grandchamp, L. F. de",Personne,P4522
Grandguillaume,Personne,P4525
Grandmaison,Personne,P4529
Grandpré,Personne,P4533
"Grange, Sieur de",Personne,P4546
Graton,Personne,P4560
Grenon,Personne,P4575
"Griffolet, Sieur de",Personne,P4584
Grosbois,Personne,P4608
Guellevin,Personne,P4634
Guenon (alias Guenaut),Personne,P4637
Guerry,Personne,P4649
Guibaud,Personne,P4656
Guibert,Personne,P4658
Guichard,Personne,P4660
"Guichard, Jean-Baptiste",Personne,P4663
Guichon,Personne,P4670
"Guigue, Louis",Personne,P4674
Guillain,Personne,P4677
"Guillain, Demoiselle",Personne,P4679
"Guillet, Demoiselles",Personne,P4692
Guillon,Personne,P4697
Guillot,Personne,P4702
"Guimbail, de",Personne,P4718
Guimont,Personne,P4722
"Guise, Duchesse de",Personne,P4732
Guiton,Personne,P4734
"Guitton, Pierre",Personne,P4739
Guymont,Personne,P4749
Habert,Personne,P4784
Hardouin,Personne,P4796
Helvétius,Personne,P4826
Henry,Personne,P4831
Héron,Personne,P4926
"Héron, Fils",Personne,P4928
Hersfield,Personne,P4844
Heurtin,Personne,P4851
Hindret,Personne,P4855
Hocquart,Personne,P4856
Holandal,Personne,P4860
Hooper,Personne,P4863
Hubert,Personne,P4878
"Huet, Pierre, dit La Violette",Personne,P4888
Huot,Personne,P4893
Jacques,Personne,P4951
"Jacquin, Joseph",Personne,P4956
Jamain (alias Jamin),Personne,P4960
Jamon,Personne,P4966
Janneau,Personne,P4971
"Jarosson, Pierre",Personne,P4978
"Jean, Etienne",Personne,P4991
"Jean, Veuve Etienne",Personne,P4992
Jeantet (alias Gentet),Personne,P4997
"Jersey, Comte de",Personne,P4999
Jolet,Personne,P5011
Joly,Personne,P5015
"Joncoux, de",Personne,P5022
Jonquet,Personne,P5025
"Jonzac, Mademoiselle de",Personne,P5026
"Jorna, Sieur de",Personne,P5028
"Joubert, Jacques",Personne,P5043
Joué,Personne,P5061
Juchereau,Personne,P5071
"Jugné, Madame de",Personne,P5074
Julien,Personne,P5077
"Julien, Honoré",Personne,P5080
"Juon, Jacques",Personne,P5086
Kerguelen,Personne,P5097
L'Empereur,Personne,P5107
"L'Escolle, Sieur de",Personne,P5110
"L'Estang, Sieur de",Personne,P5114
L'Estoffé,Personne,P5116
"La Haye, Jacob Blanquet de",Personne,P5177
"La Motte d'Eyran, Madame de",Personne,P5188
"La Rue, Charlotte de",Personne,P5210
"Labarre, Antoine Lefebvre de",Personne,P5237
"Labarre, de",Personne,P5239
"Labat, de",Personne,P5248
"Labat, Sieur de",Personne,P5247
"Laboissière, Sieur de",Personne,P5268
Laborde,Personne,P5273
"Laborde, Sieur de",Personne,P5275
"Labordemain, de",Personne,P5279
"Laboulaye, Sieur de",Personne,P5292
"Labourdonnaye, M. de",Personne,P5293
"Labouvraye, Sieur de",Personne,P5294
"Labrangelie, Le Chevalier de",Personne,P5295
"Labrosse, de",Personne,P5303
"Labroue, Sieur de",Personne,P5306
"Labrousle, Sieur de",Personne,P5308
"Labrouste, Sieur de (alias La Broute)",Personne,P5311
"Lacaffinière, M. de",Personne,P5317
"Lacase, M. de",Personne,P5322
"Lachaise, Le Père",Personne,P5326
"Lachapelle, de",Personne,P5329
Lachasse,Personne,P5334
"Lachastaigneraye, M. de",Personne,P5336
"Lachenardière, de",Personne,P5341
"Lachesnaux, Sieur de",Personne,P5343
Lachesnaye,Personne,P5344
"Laclide, Demoiselle de",Personne,P5351
Laclisse,Personne,P5352
"Laclisse, Demoiselle de",Personne,P5353
"Laclocheterie, Louis Chadeau de",Personne,P5357
"Lacoste, de",Personne,P5375
Lacouture,Personne,P5386
"Lacroix, de",Personne,P5397
"Ladmiral, Demoiselle",Personne,P5400
Ladoubé,Personne,P5401
"Lafaye, Frères de",Personne,P5412
"Laferrière, de",Personne,P5418
"Laferté, de",Personne,P5420
"Laferté, Marquis de",Personne,P5419
Lafillière,Personne,P5430
"Laflèche, Sieur de",Personne,P5442
"Laflocelière, Sieur de",Personne,P5439
"Laforce, Duc de",Personne,P5449
"Lagalissonnière, de",Personne,P5474
"Lagarde, de",Personne,P5480
Lagarrigue,Personne,P5484
"Lagastinière, de",Personne,P5486
"Lagirardière, Sieur de",Personne,P5490
"Lagny, M. de",Personne,P5493
"Lagord, Sieur de",Personne,P5498
Lagrange,Personne,P5502
"Lagrange de Verteuil, Le Sieur de",Personne,P5504
Laguinardière,Personne,P5526
"Lahéronnière, Sieur de",Personne,P5546
"Lahogue, Sieur de",Personne,P5544
"Lajoubertière-Pineau, Sieur de",Personne,P5562
"Lajus, Le Jeune",Personne,P5568
Lalande,Personne,P5570
"Lalanne, Sieur de",Personne,P5578
"Lalaurentie, Sieur de",Personne,P5580
"Lamagdeleine, Sieur de",Personne,P5595
"Lamaignère, Jean de",Personne,P5599
"Lamainforme, de",Personne,P5601
"Lamalmaison, Sieur de",Personne,P5610
"Lamarre, Sieur de",Personne,P5621
"Lamartinière, M. de",Personne,P5626
Lambert,Personne,P5632
"Lambert, La Nommée",Personne,P5636
"Lamezanchère, Sieur de",Personne,P5643
"Lamonstre, Sieur de",Personne,P5654
"Lamotte Ango, Sieur de",Personne,P5673
"Lamotte Genouillé, Sieur de",Personne,P5675
"Lamotte Genouillé, Veuve de",Personne,P5676
"Lamotte Gris, Sieur de",Personne,P5677
"Lamotte Louvard, Sieur de",Personne,P5679
"Lamotte Michel, Demoiselle de",Personne,P5680
"Lamotte Michel, Madame de",Personne,P5681
"Lamotte Michel, Sieur de",Personne,P5682
"Lamotte, Sieur de",Personne,P5686
"Lanaverre, Paul de",Personne,P5697
Landais,Personne,P5699
"Landebarats, Sieur de",Personne,P5701
Landouilette,Personne,P5706
Landreau,Personne,P5707
"Landron, Etienne",Personne,P5711
Lange,Personne,P5718
"Langeron, Joseph Andrault Marquis de",Personne,P5722
Langlade,Personne,P5728
Langlier,Personne,P5734
