unittitle,function
"Laruffinière,Thébaud de",Personne
"Lassaille,Jacques",Personne
"Lasalle,Chevalier de",Personne
"Lasalle Vaumondoit,sieur de",Personne
"Lasausaye,Chevalier de",Personne
"Lasauvagère,de",Personne
Lascous,Personne
"Laserre,Madame",Personne
"Lasse,sieur de",Personne
"Lasuze,sieur Reverend de",Personne
"Latour,sieur de",Personne
"Latour,Dame de",Personne
"Latour,Jacques de",Personne
"Latour,Pierre",Personne
"Latour Landry,sieur de",Personne
Latzague,Personne
Laugier,Personne
"Launay,Madame de",Personne
"Launay,sieur de",Personne
"Laur,Comte de",Personne
"Laur,Chevalier de",Personne
"Laur,Baron de",Personne
Laurencin,Personne
"Lauzon,veuve de",Personne
"Laval,Chevalier de",Personne
Lavau St Etienne,Personne
"Lavieuville,demoiselle",Personne
"Lavoux,sieur de",Personne
Léautaud,Personne
"Lebigot,Jacques",Personne
"Leblanc,Père Jésuite",Personne
"Lechat,Jacques",Personne
Leclerc et Busquet,Personne
Leclerc-Duguesteau,Personne
"Leclerc,veuve",Personne
Leconte,Personne
"Ledantec,Bernard",Personne
Lefairne,Personne
"Lefébure,Marie",Personne
Leferrier,Personne
Lefêvre,Personne
Lefêvre d'Albon,Personne
Lefêvre de Chassenay,Personne
Legangneulx,Personne
"Legourd,André",Personne
Legouverneur,Personne
Legoux,Personne
Lejarriay,Personne
"Lemayrat (alias le Mairat,le Meyrat)",Personne
Lemerle de Montpensier,Personne
Lemoine de Sérigny,Personne
Lepine Danican,Personne
"Leromansère,Jacques",Personne
Leroy de La Potterie,Personne
"Leroux,veuve",Personne
Leschassier,Personne
"Lescorce,sieur de",Personne
"Lescot,Jean",Personne
Lesourd,Personne
"Lespinay,sieur de",Personne
Lestrade,Personne
L'estry (alias Listrek-Vrai nom:Lestrille),Personne
"Letac,Marguerite",Personne
"Létenduère,sieur de",Personne
"Letur,sieur de",Personne
"Levaillant,Charles",Personne
Levêque,Personne
L'hermitte,Personne
L'hostellier,Personne
"Lignon,de",Personne
"Ligondez,sieur de",Personne
Linarez,Personne
"Linars,sieur de",Personne
Linière,Personne
"Lionsac,monsieur de",Personne
"Lisle,Madame de",Personne
Listrik (alias Lestry),Personne
"Livernan,sieur de",Personne
"Logivière,de",Personne
Lommeau,Personne
"Longchamps,sieur de",Personne
"Longueuil,sieur de",Personne
"Lopez de Paès,Antoine",Personne
"Loppinot,Jean-Chrysostome",Personne
Loquet,Personne
Lorry,Personne
Lortie,Personne
Lortie Dumaine,Personne
"Lostange,sieur de",Personne
Lottin Desmarais,Personne
Loubes,Personne
Louis XIV,Personne
Loumeau,Personne
Loustalot,Personne
Louvet,Personne
"Louvigny,sieur de",Personne
Loysel,Personne
Lozeau,Personne
"Lubert,Louis de",Personne
Lucet,Personne
"Lumeau,Marguerite,veuve",Personne
"Lusançay,sieur de (alias Luzançay)",Personne
"Lusignan,sieur de",Personne
"Macarel,Jean",Personne
"Macault,Jean",Personne
Machair,Personne
"Machors,l'abbé",Personne
"Machoy,l'abbé (voir Machon)",Personne
Maillard de Fontenes,Personne
Maillé de la Tour-Landry,Personne
Maillet,Personne
"Mainguin,Jacques",Personne
"Maisnier,Jonas",Personne
"Maitrot,Claude",Personne
Malleteau,Personne
"Malvau,sieur de",Personne
"Malville,sieur de La Barberie de (alias Maleville)",Personne
Manach (alias Manac),Personne
Mannevillette,Personne
"Manquartier,François (alias Mancartier)",Personne
"Marcadier,Jean",Personne
"Marcillac,sieur de (alias Marsillac)",Personne
Marconnay,Personne
"Mareuil,dame de",Personne
Maria,Personne
"Marie,François",Personne
"Marigny,sieur de",Personne
Marion de Courcelles,Personne
"Marois,Elisabeth",Personne
Marois du Pont,Personne
"Marolles,sieur de",Personne
Marteau,Personne
"Martel,Madame de",Personne
"Martel,sieur de",Personne
"Martin,Louis",Personne
"Martin,Nicolas",Personne
"Martin,François",Personne
"Martin,Jacques",Personne
"Martin,Noêl",Personne
Martin de Chassiron,Personne
Martin de Fonclou,Personne
"Martineau,Etienne",Personne
Marton,Personne
"Massey,Fr-Thérèse",Personne
Massiot de la Mothe,Personne
"Massiot,veuve",Personne
"Masson,dame",Personne
Mauclerc Du Péré,Personne
"Maudin,Jean dit l'Espérance",Personne
"Maule,Logivière de",Personne
"Maupéou,Chevalier de",Personne
"Maurat,veuve",Personne
"Maurin,Jean",Personne
"Maurville,sieur de",Personne
"Mauzé,Gabriel",Personne
Mayère,Personne
"Meillat,Nicolas dit Sans-Crainte",Personne
Ménard,Personne
"Méneleau,Jean",Personne
"Menou,les frères",Personne
Méraudière,Personne
Meret,Personne
"Mereuil,sieur de",Personne
Méritan,Personne
"Mesle,l'abbé",Personne
"Mesnard,Louis",Personne
"Mesnier,René",Personne
Mestier,Personne
"Meunier,Jean",Personne
"Mianne,sieur de",Personne
Michel de la Motte,Personne
Millaud,Personne
Million,Personne
"Minvielle,sieur de",Personne
"Miossens,Comtesse de",Personne
"Miraillet,demoiselle",Personne
Mirassol,Personne
Mitifeu;Jean,Personne
"Modieu,sieur de",Personne
Moissand de Bardonnières,Personne
"Mondens,sieur de",Personne
"Mongerou,Chevalier de",Personne
Monnot,Personne
"Montauban,Michel",Personne
Monteaut,Personne
Montgaillard,Personne
"Montgeron,sieur de",Personne
"Montgrué,sieur de",Personne
"Montholon,sieur de",Personne
Montholon,Personne
"Monthulé,de",Personne
"Montlaur,Chevalier de",Personne
"Montrevel,Maréchal de",Personne
"Montrioux,Chevalier de",Personne
"Montsoreau,Comte de",Personne
Montulé (voir Monthulé),Personne
"Montviel,Chevalier de",Personne
"Morat,François,dit Saint Louan",Personne
Moré ,Personne
"Moreau,Pierre",Personne
"Moreau,Hector",Personne
"Morienne,Dame",Personne
"Mornac,Comte de",Personne
"Mortemart,Duc de",Personne
"Mothe,Melle de (voir Lamothe)",Personne
"Mouchard,veuve",Personne
Mouette de Louvergny,Personne
"Mounier,Jean",Personne
Mounier Baron,Personne
Mounier Capron,Personne
Mouton,Personne
"Moyencourt,sieur de",Personne
Moysand des Bardonnières (alias Moissan),Personne
Moysand,Personne
Mullins,Personne
"Murat,sieur de",Personne
"Mustelier,veuve",Personne
Nadrau,Personne
Nardot,Personne
"Naudin,Jean",Personne
"Naurois,sieur de",Personne
"Navarrot,Jean",Personne
"Neau,Charles",Personne
Nebout,Personne
Nectour,Personne
Nestier,Personne
"Neuville,sieur de",Personne
"Neuville,de",Personne
"Nezereau,veuve Massiot",Personne
"Niorderie,sieur de",Personne
"Noé,Chevalier de",Personne
"Noêl,Philippe",Personne
"Nogent,sieur de ",Personne
Noguiez,Personne
Nolasque,Personne
"Nolinos,sieur de",Personne
"Nordink,veuve",Personne
"Noré,demoiselle de",Personne
Noury,Personne
"Noyan,Chairy de",Personne
"Noyé,Pierre",Personne
Olive,Personne
"Olivier, Jean",Personne
"Orteaux, Dame Elisabeth",Personne
"Ottero, Dominguo Antonio de",Personne
Oudot,Personne
"Ozanneau, Marie",Personne
Pacaud (alias Pascaud),Personne
"Pachot, Veuve",Personne
"Page, Jacques",Personne
"Page, Jean",Personne
Pages,Personne
"Paillard, François",Personne
"Parage, Sieur de",Personne
"Parisis, Jean",Personne
Parnajon,Personne
Pascaud (alias Pascault),Personne
"Paslain, Jean",Personne
Patarin,Personne
"Patron, Julien",Personne
Patry,Personne
"Paulmier, Philippe",Personne
Pechagut,Personne
Peclavé,Personne
"Pegaut (alias Pegaud, Pegault)",Personne
"Pelé, Veuve",Personne
Pelerin (alias Pellerin),Personne
Pelletan (alias Peltan),Personne
Pelsaire,Personne
"Penotay, Jean (alias Penoté)",Personne
"Pensens, Sieur de",Personne
"Peras, Jean et Antoine",Personne
"Percin, Madame veuve de",Personne
"Perrin, Vincent",Personne
"Pesclavé, Sieur des bois",Personne
"Pesseville, Sieur de",Personne
Petiot,Personne
Petitbon,Personne
Peufier (alias Peuffier),Personne
"Peynet, Jean",Personne
Pezeron,Personne
Philoule,Personne
"Pichon, Veuve",Personne
Piecourt,Personne
"Pierre, Jean",Personne
Piètre,Personne
"Pilan, Charles",Personne
Pillard (alias Pillart),Personne
"Pillet, Simon",Personne
Pillet (alias Pilet),Personne
"Pinaud, Simon",Personne
Pinaudeau,Personne
Pineau,Personne
"Pineaud, Pierre",Personne
Pinsonneau,Personne
"Pionsac, Sieur de (alias Pionsat)",Personne
Placide,Personne
Poincret,Personne
"Polignac, l'abbé de",Personne
"Polignac, Sieur de",Personne
"Pollard, Claude (alias Polart)",Personne
Pomiès,Personne
"Pompadour, Monsieur de",Personne
"Pons, Sieur de",Personne
"Pontac, Sieur de",Personne
"Pontchartrain, Comte de",Personne
"Pontmarois, Sieur de",Personne
Porter et Borkin,Personne
Poulain de Guerville,Personne
"Poulveret, Lydie",Personne
Prat,Personne
"Préval, de",Personne
"Priée, Sieur de",Personne
"Prieur, veuve et sa fille",Personne
Prince,Personne
"Privat, Noël",Personne
"Putigny, Chevalier de",Personne
Puylorval-Chieze,Personne
Quelain,Personne
"Quernavalet, dit Saint-Jean",Personne
Querquelin,Personne
Quienot (alias Quenot),Personne
Quinet,Personne
"Rabillard, Daniel",Personne
"Rabitaut, Thomas dit l'Aiguille",Personne
Raby,Personne
Raguyenne,Personne
Rambaud (alias Rambault),Personne
"Rambault, La Nommée",Personne
Ramezay,Personne
Rangeard,Personne
"Ranse, Veuve de",Personne
Raoulx,Personne
Ratteau (alias Rasteau),Personne
"Raymond, Chevalier de",Personne
"Raymond, Veuve",Personne
"Reals, Madame Fénelon de",Personne
"Reals, Sieur de",Personne
"Réalt, Sieur de",Personne
Réat,Personne
"Reboul, Antoine",Personne
"Redouté, François",Personne
"Regnaud, Jean",Personne
"Regnault, Veuve",Personne
Relin,Personne
"Remond de Villognon, Chevalier de",Personne
"Rémonville, Sieur de",Personne
Renaud,Personne
Renaudet,Personne
"Reneteau, Marie",Personne
"Reslin, Pierre",Personne
"Reverdy, Sieur de",Personne
"Richard, René",Personne
"Richard, Veuve",Personne
"Riché, Pierre",Personne
"Richebourg, Monsieur de",Personne
"Richer, Dame",Personne
"Richier, Pierre dit Coulonge",Personne
"Ricouart, Sieur de",Personne
"Rimbertut, Sieur de",Personne
"Rippault, Marie",Personne
"Riquet, Jean",Personne
Rivière,Personne
Roberge,Personne
"Robert, Nicolas",Personne
Robinet,Personne
"Roblin, Jean",Personne
Rochalart,Personne
Roguet,Personne
"Rohan, Prince Constantin de",Personne
Roi d'Angleterre,Personne
Romet et Cottiby,Personne
Romieu,Personne
"Ronsay, Sieur de",Personne
Rosnay,Personne
Rouchier,Personne
Rouleau,Personne
"Rouleau, Jacques",Personne
"Roulin, Jacques dit Desmarais (alias Raulin)",Personne
"Rousseau, Dame",Personne
Rousset,Personne
"Roussy, Thomas de",Personne
"Rouveret, Pierre (alias Roveret)",Personne
"Rouville, Sieur de",Personne
Rouvray (alias Rouvroy),Personne
"Roux, Catherine",Personne
"Roy, Jean",Personne
"Royer, Valentin",Personne
Roze,Personne
"Rozel, Marquis",Personne
Ruel,Personne
"Rullaud, Jean",Personne
"Rullot, Isaac",Personne
Ruttot,Personne
"Sabran-Montblanc, Chevalier de",Personne
Sage,Personne
"Sages, Jean de",Personne
"Saintard, Pierre",Personne
"Saint-Abre, Sieur de",Personne
"Saint-Abre, Chevalier de",Personne
Saint-Amant de Vouard,Personne
"Saint-André, Sieur de",Personne
Saint-André,Personne
Saint-Andrieu,Personne
"Saint-Clair, de",Personne
"Saint-Etienne, Sieur de",Personne
"Saint-Fort, Mademoiselle de",Personne
"Saint-Gelais, Marquis de",Personne
"Saint-Germain, Guillaume de",Personne
"Saint-Hubert, Sieur de",Personne
"Saint-Légier, de",Personne
"Saint-Mar, de",Personne
"Saint-Maure, Marquis de",Personne
"Saint-Michel, Veuve Charlotte de",Personne
Saint-Michel Dunezat,Personne
"Saint-Ovide, Sieur de",Personne
"Saint-Père, Dame de",Personne
"Saint-Quentin, Charles de",Personne
Saint-Sauveur,Personne
"Saint-Simon, Sieur de",Personne
Saint-Simon,Personne
Saint-Sulpice,Personne
"Saint-Vandrille, Sieur de",Personne
"Saint-Vincent, Sieur de",Personne
"Sainte-Colombe, Monsieur de",Personne
"Sainte-Hermine, Chevalier de",Personne
Sainte-Jame,Personne
"Sainte-Marthe, Sieur de",Personne
"Salagnac, Sieur de",Personne
Salaise,Personne
"Salbert, Charles de",Personne
Sanguinet,Personne
"Samson, Pierre",Personne
Samson-Marais,Personne
"Santis, Monsieur de",Personne
Sarrasin,Personne
"Sarry, Sieur de",Personne
"Sartre-Vacquerot, Sieur de",Personne
Stain,Personne
Saubat Darrache (alias Daretche),Personne
Saudelet de Lestur,Personne
"Saujon, Chevalier de",Personne
"Saumery, Comte de",Personne
Saurclet,Personne
"Sauvageau, Guillaume",Personne
Sauvagère,Personne
"Savary, Demoiselle",Personne
Savet,Personne
"Savonnière, Sieur de",Personne
"Schellefis, Abraham",Personne
Sebrin,Personne
Seguineau,Personne
Seguynoy,Personne
Seigneret (alias Seigneuret ou Seignoret),Personne
"Selle, Monsieur de",Personne
"Selle, monsieur de",Personne
"Seners, Guillaume",Personne
"Serigny, Sieur de",Personne
"Serpault, Veuve (alias Serpaud)",Personne
"Serré, Denis",Personne
"Servanteau, André",Personne
"Sibrun, Jean",Personne
Silet,Personne
"Simon, Jean",Personne
Simonneau,Personne
"Simonnet, Sieur de",Personne
"Simonnet, Sieur de La Grossinière",Personne
Sobbrié,Personne
"Sossiondo, Sieur de",Personne
"Soubras, Monsieur de",Personne
"Sougé, Dame de",Personne
"Sougé, Sieur de",Personne
Souisse,Personne
"Sourant, La nommée",Personne
"Souze, Saint Révérend sieur de (alias de La Suze)",Personne
"Spiet, Sieur de",Personne
"Sptapleton, Mademoiselle",Personne
"Subercase, Monsieur de",Personne
"Surgères, Vicomte de",Personne
"Surgères, comte de",Personne
"Tabois, Joseph",Personne
Taffar,Personne
"Tallandier, Pierre Seguin",Personne
Taillasson,Personne
"Talleyran, Comte de",Personne
"Tally, Bois de",Personne
"Talmont, Prince de",Personne
Tardat,Personne
Tardy,Personne
Tavaud,Personne
Tavaud (alias Tavan),Personne
"Tayeau, André",Personne
Tayrand,Personne
"Tenville, Sieur de",Personne
Tereinier,Personne
Tercinien (alias Tercinier),Personne
Tessier,Personne
"Tessier, Claude",Personne
"Tessier, Léonard",Personne
"Tessier, François",Personne
"Texier, Jean",Personne
"Texier, Etienne (alias Tessier)",Personne
"Thibaudeau, Pierre",Personne
Thibault de La Pinière,Personne
"Thomas, Jean",Personne
Thomé,Personne
Thourette de Boyer,Personne
Tiercelin,Personne
Tiffonneau,Personne
Tildasola,Personne
"Tisné, Sieur de",Personne
Tivas de Gourville (voir Gourville),Personne
"Tonty, Sieur de",Personne
"Torcy, Veuve du sieur de",Personne
"Touchimbert, Madame de",Personne
Tourbien-Monod,Personne
"Tourlandry, Chevalier de",Personne
Tourou,Personne
Travers,Personne
"Tréhard, Dame (Françoise Chartier)",Personne
Trehet,Personne
"Trency de Charmail, Sieur de",Personne
"Troussereau, Jean",Personne
"Vachon, Pierre",Personne
Valet,Personne
"Valigny, Sieur de",Personne
Valleau,Personne
"Valles, monsieur de",Personne
"Vandé, Veuve du Sieur",Personne
Vandril,Personne
"Vanolles, monsieur de",Personne
"Vantille, Pierre dit Le Flamand (alias Ventille)",Personne
"Varennes, Sieur de",Personne
"Vassé, Marquis de",Personne
"Vaudreuil, Philippe de Rigaud Marquis de",Personne
"Vauzelard, Sieur de",Personne
"Vaulx, Sieur de",Personne
"Vaulxminars, Sieur de",Personne
Vendosme-Huet (alias Vendosme),Personne
"Veronneau, Dame",Personne
Verrier (alias Veurier),Personne
Viard de Lamirault (alias Viart),Personne
Viart de Villette,Personne
Viau,Personne
Vidal,Personne
"Vidault, Le Père",Personne
Vidrine,Personne
Viette de La Rivagerie,Personne
"Vieulle, Marquis de",Personne
"Vieuxville, Marquise de",Personne
Vignaud (alias Vigaud),Personne
"Vigny, Chevalier de",Personne
"Vildox, Jean-Baptiste",Personne
"Vilennes, Sieur de",Personne
Vilbain,Personne
"Villars-Lugein, Sieur de",Personne
"Villautrays, Sieur de",Personne
"Villeneuve, Jacques dit Verrier",Personne
"Villette, Marquis de",Personne
"Villeur, Michel",Personne
"Villeur, Samuel",Personne
"Villiers, Sieur de",Personne
"Villieu, Sieur de",Personne
Vincendeaux,Personne
Vincent,Personne
"Voutron, Sieur de",Personne
"Voysin, monsieur",Personne
"Vrevins, Marquis de",Personne
"Abraham, Nicolas",Personne
"Adam,   Pierre",Personne
"Adam, Claude",Personne
"Alain, de la Mothe",Personne
Allard Belin,Personne
Amelot de Chaillou,Personne
Anguérant,Personne
"Anqueulle, Henry",Personne
Ardibus,Personne
"Ardouyn, dit La Fontaine",Personne
"Arnaud, Constantin, dit La Rose",Personne
"Artus, alias Arthur",Personne
Arvet de Luzet,Personne
Auberon,Personne
"Aubin, François",Personne
Audiffrédy,Personne
Audouin,Personne
"Audran, Marie-Anne",Personne
"Auger, Jean",Personne
"Auger, Laurent",Personne
Aulaire,Personne
Aurain,Personne
Auroy,Personne
"Autain, Louis",Personne
Autan,Personne
"Avayne, Albert",Personne
"Babaud, alias Babeau",Personne
Babeau,Personne
Babin,Personne
"Baraud, Jacques dit Dubois",Personne
"Barault, Jacques alias Baraud",Personne
"Barbou, Marie",Personne
Barbuot,Personne
"Bareau, Pierre",Personne
"Bareau, Pierre, alias Barraud",Personne
Barère,Personne
"Barière, Pierre dit Desjardins",Personne
"Barjault, Jacques",Personne
"Baron, Pierre",Personne
"Baron, Pierre dit La Forme",Personne
Barrailh de,Personne
"Barraud, Bernard",Personne
"Barreau, Jacques",Personne
"Barrien, François",Personne
Barville,Personne
"Baubry, Elie",Personne
"Baud Dupuy, Pierre",Personne
"Baudet, Bernard",Personne
Baudoin des Petits Bois,Personne
"Baudoin, Marie",Personne
Baudot,Personne
"Baume, Paul",Personne
Bausson,Personne
"Bautié, François Xavier",Personne
"Bayeux, Jean",Personne
"Bazin, Jean",Personne
"Beacours, alias Beaucourt",Personne
"Beaubry, Elie",Personne
"Beauché, dit La Liberté",Personne
Beauchesne Degidy,Personne
Beauharnais de,Personne
Beaujeu,Personne
"Beaumaine, Laurent",Personne
Beaune de,Personne
"Beauregard M, de",Personne
Beausson de,Personne
Beauvais,Personne
Beauville dd,Personne
"Béchet, Raymond",Personne
"Beignet, Jean",Personne
Belamy de ,Personne
Belestre de ,Personne
Bellecour,Personne
Bellefonds de,Personne
Bellefontaine de,Personne
"Bellegarde, Marquis de",Personne
Belleperche,Personne
Bellié,Personne
Bellisle de,Personne
Belliveau de ,Personne
Belmont de ,Personne
"Belot, Martin",Personne
Bénard de Nantes,Personne
"Bénard, Louis",Personne
"Bérard, Jean",Personne
"Berger, Joseph",Personne
Bernessart de,Personne
Bernonville,Personne
Bertaut dit La Bretèche,Personne
Bertauville,Personne
Bertellot de Villeurmoy,Personne
Bertheaulme,Personne
Bescot,Personne
Besheron de ,Personne
"Bessac, Jean",Personne
"Besson, François dit La Treille",Personne
"Béthune, Comte de",Personne
"Beuf, François",Personne
Bidache de ,Personne
Billy de,Personne
Biron,Personne
"Biscour, Demoiselle (alias Briscourt)",Personne
"Bisus, Marie",Personne
Blain ,Personne
"Blanchet, Gabrielle",Personne
"Blouard, François",Personne
Bois de Calcy,Personne
Boisbrillant,Personne
Boisferme,Personne
Boisjulien de,Personne
Boisnard,Personne
Boisnier,Personne
Boispinault (alias Boipinau),Personne
Boispineau de,Personne
Boisre de,Personne
Boissieux de,Personne
Boistalsy de,Personne
Boisvert de,Personne
"Boivin, Pierre",Personne
"Bonclair, Jean",Personne
"Bondon, Michel",Personne
"Bonfils, Elie",Personne
"Bonnaire, Pierre",Personne
Bonnaventure,Personne
"Bonneau, l'ainé",Personne
Bonnille de,Personne
Bonvallet,Personne
"Bonvoust, Demoiselle",Personne
"Bordonneau, Elie",Personne
"Boscal, de",Personne
Bouché (alias Boucher),Personne
"Bouclair, Jean",Personne
Boucot,Personne
"Boudeau, Jean",Personne
Boudet,Personne
Bougeaud,Personne
"Bouin, Pierre",Personne
Boulainvilliers de,Personne
Boulletier,Personne
"Bounin, Etienne",Personne
"Bourdon, Michel",Personne
Bourges de ,Personne
"Bourgoin, François",Personne
Bourgouain,Personne
Bourjolly de,Personne
"Boutemont, Jean de",Personne
"Boutet, Jean",Personne
"Boutonnier, Jean dit Saint Paul",Personne
"Bouvier, Yves",Personne
Bouÿ,Personne
"Bouyer, Jean",Personne
Bouzitat,Personne
"Boynot, Pierre",Personne
"Braban, Luc",Personne
Brach de,Personne
Bragelonne de,Personne
"Bras, Etienne",Personne
Brassac chevalier de,Personne
"Brassac M, de",Personne
"Braud, Mathieu",Personne
Bréard,Personne
Bréaux,Personne
"Bréman, Jacques",Personne
Bremand,Personne
"Brequin, Pierre",Personne
Bretanville de,Personne
Breteuil de,Personne
Brians,Personne
Briçonnet,Personne
Brigeon,Personne
Brink,Personne
Briscourt,Personne
"Brisson, Marie",Personne
Brock,Personne
Brou M. de,Personne
Brouet,Personne
Brouillan,Personne
"Brue, Jeanne",Personne
Bruère (alias: de la Bruère),Personne
Brulard,Personne
Brulon,Personne
Brunau,Personne
Budan,Personne
"Buirette, Thomas",Personne
"Buisson, Pierre",Personne
Bujard,Personne
"Burret, Michel",Personne
Busca de,Personne
Butler,Personne
"Butter, Jean",Personne
"Cadière, Claire",Personne
Caffaro Chevalier de,Personne
Caignet,Personne
Caillaud,Personne
"Caillouet, Lion",Personne
"Callabrun, Isidore",Personne
Callandre,Personne
Camuzat,Personne
"Carascoza de Las Torrès, Don Alonzo",Personne
Carpot de Montigny,Personne
Carpot de Ponsery,Personne
Carric,Personne
Cartigny M. de,Personne
Castanier,Personne
"Castillon, André",Personne
"Catoire, Joseph",Personne
Caumont Marquis de,Personne
"Causse, Elisabeth",Personne
Cavelou (alias Cavelon),Personne
Chabanais Madame de,Personne
"Chabannes, Chevalier de",Personne
"Chabannes, Jean",Personne
Chabert Cleroy,Personne
"Chabert, Jean dit Montaudran",Personne
Chabot de Villeneuve,Personne
"Chabot, Chevalier",Personne
Chagneau,Personne
Chamblan,Personne
Chamonin,Personne
"Champagné, de",Personne
Champigny M. de,Personne
Champigny Marquis de,Personne
"Champigny, François Moufle de",Personne
Champion,Personne
Champmeslin M. de,Personne
"Chanceau, Julien",Personne
Chaon de,Personne
Chaon sieur de,Personne
Chapau,Personne
"Chapelou, Louis",Personne
Chapusot,Personne
"Chardon, Jean",Personne
"Chareau, Mathurin",Personne
Charitte de,Personne
"Charlant, François",Personne
Charlevoix,Personne
Charlot de Chauvery,Personne
Charmeneuil de,Personne
Charpentier,Personne
Charron,Personne
"Chartron, Anne",Personne
Chasseriau,Personne
Chassin,Personne
Chassy Moreau de,Personne
Chasteauneuf Marquis de,Personne
Chasteleux Comte de,Personne
Chateaumorant de,Personne
Châteaumorant Marquis de,Personne
Châteauriers M. de,Personne
Chatillon Marquis de,Personne
Chaussegros,Personne
Chauvain,Personne
Chauveau Pierre,Personne
Chauvelin,Personne
Chauvet Dubreuil,Personne
"Chauvet, Pierre",Personne
Chauvigny de,Personne
Chavagnac de,Personne
Chebrou de,Personne
Chesneau,Personne
"Chesneau, Pierre",Personne
Cheusse de,Personne
"Chevalier, François",Personne
"Chevalier, Olive",Personne
"Chevillot, Pierre",Personne
Chezac de,Personne
Chiché,Personne
Choiseul Chevalier de,Personne
"Cholier, Pierre",Personne
"Chollet, Pierre",Personne
"Choquet, André dit La Rivière",Personne
"Circourt, Henri dit Dapremont",Personne
Clancy de ,Personne
"Clergeau, Pierre (alias Clerjaud)",Personne
Clermont Marquis de,Personne
Cochon Du Puy,Personne
Coëtlogon Marquis de ,Personne
"Cognaud, Maurice",Personne
Coigny de Laure,Personne
Colbert de Saint-Mar,Personne
"Collardeau, Louis",Personne
Colombe,Personne
Combes,Personne
Comte Dagrain,Personne
"Conserans, l'Evêque de",Personne
Conteneuil de,Personne
Conty Princesse de,Personne
"Corbineau, Pierre",Personne
Coré,Personne
"Cormeaux (alias Cormaux), François dit La Fontaine",Personne
"Cosson, J.B",Personne
"Cottu, Abraham",Personne
"Coulomb, Jean",Personne
Coulombe de,Personne
"Coulon, Jean",Personne
"Courbet, Jean dit La Roque",Personne
Courbon de,Personne
Courbon Saint-Léger de,Personne
Courcy de,Personne
Courey Chevalier de,Personne
Courpon de,Personne
Courpron de ,Personne
Course de Laur de,Personne
Courson de,Personne
Courtade,Personne
Courty de,Personne
Coutel de,Personne
Couturier,Personne
Couvey de,Personne
Creil de,Personne
"Cremon, Pierre",Personne
"Cresmier, Jacques (alias Cresnier)",Personne
"Crespeau, Etienne",Personne
"Crosnier, claude",Personne
Cucuremon dit Du Bois,Personne
Cugnet,Personne
Cullant de,Personne
Cumont de,Personne
D'Agrain Comte,Personne
"D'Aguerre, Pierre",Personne
D'Aguesseau,Personne
D'Ailly M. le Commandeur,Personne
D'Albon Madame,Personne
D'Aligré,Personne
D'Andrezel,Personne
D'Appougny,Personne
D'Ars Marquis,Personne
D'Asfeld Marquis,Personne
D'Astour,Personne
D'Aubigny Madame,Personne
D'Aumale Comte,Personne
D'Entragues Chevalier,Personne
D'Eragny  Marquis,Personne
D'Escoublanc de Gillant,Personne
D'Escoublanc Desormaux,Personne
D'Escoyeux de Fouras,Personne
"D'Estournelles, Harsant",Personne
D'Estrées le Maréchal,Personne
D'Hariette,Personne
D'Hautefort Marquis,Personne
D'Illeau,Personne
D'illiers Comte,Personne
Dahuet,Personne
Dajat,Personne
Dalens,Personne
"Daligaud, Georges",Personne
Danglars,Personne
"Daniaud, Louis",Personne
Darcanval,Personne
Darius,Personne
Dartaguiette d'Houralde,Personne
Daumergue,Personne
"David , Pierre",Personne
David du Bois,Personne
Day Derville,Personne
Decharon,Personne
Deheere de Villemin,Personne
"Delacroix, Abraham",Personne
"Delage, Léonard",Personne
Delause,Personne
Delavasse,Personne
Delbac,Personne
Delot des Moulins,Personne
Deluns,Personne
Demaxy,Personne
Denis,Personne
Depons,Personne
Derveaux Hardouin,Personne
"Derville, Christophe",Personne
Desbarballières,Personne
Deschamps de Tonnay Charente,Personne
Deschamps dit La Feuillade,Personne
Deschapelles Putreau,Personne
Deschassy,Personne
Descombes,Personne
Deserable,Personne
Desfossés,Personne
Desglaireaux Demoiselle,Personne
"Desgouttes, Lasalle",Personne
Deshayes,Personne
Desjumeaux,Personne
Desmarattes,Personne
Desmons,Personne
"Desnier, Elisabeth",Personne
Desplasses,Personne
Despreaux Dognez,Personne
Desroches,Personne
Desrouches,Personne
Desruaux,Personne
"Dessolles, Pierre",Personne
Deville ,Personne
Deygat (alias Deigat),Personne
Didon Meissac,Personne
Dirier,Personne
Diron,Personne
Dodun Le Président,Personne
Dominique de La Marche,Personne
Donnay de,Personne
Doraison,Personne
"Doreau, Pierre",Personne
Doury,Personne
Drouard,Personne
Dubaisel (alias Du Bleselle),Personne
Dubois de Maquillé,Personne
"Dubois, Guillaume",Personne
Duboucheau,Personne
Dubourdet Chevalier,Personne
"Dubourg, Jeanne",Personne
Ducaillaut,Personne
Ducanet,Personne
Ducartron,Personne
"Ducastel, Louis",Personne
Duchon,Personne
Duclerc Demoiselle,Personne
Duconseil,Personne
Ducorneau,Personne
Ducoudray Guymont,Personne
Dudeffand,Personne
Dufay d'Issoudun,Personne
Duforillon,Personne
Dugas,Personne
Dugast de Lunan,Personne
"Duguay, Louis",Personne
"Duguay, Madeleine Esther",Personne
Dujoncheray du Bois,Personne
Dulau,Personne
Dulau de Seulette,Personne
Dumené,Personne
Dumesnil Norey,Personne
Dumesnil Roland,Personne
Dumont Labrie,Personne
"Dumont, J.R Benjamin",Personne
Dumouchet de Vilainville,Personne
Dupart,Personne
