unittitle,function
D'Ormesson,Personne
"D'Osmont, Le chevalier",Personne
Dagnonterras,Personne
Dandennes,Personne
"Danezay (alias Danezey), Demoiselles",Personne
"Dangeau, Marquis de",Personne
Danguy,Personne
Daniaud,Personne
"Dans, d'Hautefort",Personne
Dantragues,Personne
Dapremont,Personne
Darcambal,Personne
Darrieux,Personne
Daubarède,Personne
Daumont,Personne
Daverluy,Personne
David,Personne
Decamp,Personne
Dedoit,Personne
"Degascq, Blaise",Personne
"Degeat, Demoiselle",Personne
"Degremont, Antoine",Personne
"Deguerry D'Aumont, Le chevalier",Personne
Delacombe,Personne
Delacourt,Personne
Delacroix,Personne
Delafontaine,Personne
Delagarde,Personne
Delagny,Personne
Delisle,Personne
"Delisle, Sieur de",Personne
Dellerac,Personne
Deloche,Personne
Delorme,Personne
Demezi,Personne
Demuin,Personne
"Denonville, M. de",Personne
"Depont, Sarah",Personne
Déragny,Personne
"Desadrets, Le chevalier",Personne
Desanges,Personne
Desarcis,Personne
"Desaugiers, Le chevalier",Personne
Descartes,Personne
Deschauffours,Personne
Deschiens,Personne
Deschillais,Personne
"Desclouzeaux, Hubert de Champy",Personne
Descoyeux,Personne
Desfontaines,Personne
Desglereaux,Personne
"Desgoutières, Le chevalier",Personne
Desgouttins,Personne
Desgranges,Personne
Desgrassières,Personne
Desgua,Personne
Desherbiers,Personne
"Desherbiers, veuve",Personne
Desnos,Personne
Desnots,Personne
Desperbasque,Personne
Desperon,Personne
Desprez,Personne
Desursins,Personne
Devalles,Personne
"Devienne, Antoine",Personne
Deviliers,Personne
Deville,Personne
"Dido, Demoiselle",Personne
"Digoine, Le chevalier de",Personne
Dimanche,Personne
"Dirac, Sieur de",Personne
"Dode, Alexis dit La Feuillade",Personne
Dodun,Personne
Domergue,Personne
"Doncieu, Le chavalier",Personne
"Dorné, Jean",Personne
Dorogne,Personne
"Doson, Demoiselle",Personne
"Doustans, Demoiselle",Personne
"Douteau, Dame",Personne
Douzon,Personne
Drognon Terras,Personne
"Droguet, Louis",Personne
"Drouillard, Pierre",Personne
