unittitle
Bapaume, Peufier dit
Lamaison de
Lamesselière de
Lamothe-Bigot de
Landrin Jacques
Langerie de
Langevinière de
Langlade Jean
Lanoue St-Martin
Laperlier Philibert
Laplagne de
Larochalar, M de
Laroche de
Larochejaquelein de
Laronde de
Laroutière chevalier de
Lasausaye de
Latraisne de
Latrémouille de
Lauberdrie Baudouin de
Laugerie de
Law Guillaume
Legras dit sans-façon
Lelatteur Pierre
Lesormel de
L’étanduère de
Liebon, Jean dit Bonper
Liesta de
Ligouyer, Madame de,
l’Illeau de
Linières de
Linois de
Longchamps de
Lopinot de
Louis Etienne
Loumeau Pierre
Macarty de
Marty de
Macquillé de
Maindre Etiene
Maindron Jean
Mallet Marie Jeanne
Maillevaud de
Marcellange de
Marion François
Marion Pierre
Marissy Joseph
Marolles Philippe de
Martel Pierre
Martin Jean
Martineau Pierre
Martou de
Massieu de
Massilieu de
Mathieu Gabriel
Meistre Jean
Melle Charles
Meloise de
Melu Jacques
Menneville de
Méré-Brossin de
Mérué Fontaine de
Merveilleux de
Meschin de
Mesmes Le Baillé de
Meunier Joseph
Meynier Guillaume
Micheau Jacques
Michel Augustin
Michel Louis
Monbron Pierre
 Mondrelois de
Mondrelois de
Monguy Pierre 
Montigny de
Montvert de
Morailleau François
Mullon Jean
Nadau François
Neveu Charles
Noé de
Nolent d’Emauville de
Nolinos de
Nouvant François
Pardieu de Berteville de
Parlan de
Patoizeau Jean
Pavan de
Penaud Jacques
Penaud Jean
Penotay Jean
Petiot Henry
Pichaud Charles
Pictersz de Wilde Simon
Pinault René
Pineau Dom
Pineteau Pierre
Pinsonneau François
Piot Jean
Poitiers François
Pont Paul de
