unittitle
"Edits et ordonnances, Versailles, 10 septembre 1692"
"Edits et ordonnances, Versailles, 12 mai 1692"
"Edits et ordonnances, Versailles, 19 novembre 1692"
"Edits et ordonnances, Versailles, 22 octobre 1692"
"Edits et ordonnances, Versailles, 26 mars 1692"
"Edits et ordonnances, Versailles, 26 octobre 1692"
"Edits et ordonnances, Versailles, 27 août 1692"
"Edits et ordonnances, Versailles, 3 septembre 1692"
"Edits et ordonnances, Versailles, 6 février 1692"
"Edits et ordonnances, Versailles, janvier 1692"
"Lettres ministérielles, 1 avril 1692"
"Lettres ministérielles, 11 février 1692"
"Lettres ministérielles, 11 juin 1692"
"Lettres ministérielles, 13 août 1692"
"Lettres ministérielles, 13 avril 1692"
"Lettres ministérielles, 13 février 1692"
"Lettres ministérielles, 14 juin 1692"
"Lettres ministérielles, 16 février 1692"
"Lettres ministérielles, 18 février 1692"
"Lettres ministérielles, 19 février 1692"
"Lettres ministérielles, 19 juin 1692"
"Lettres ministérielles, 2 avril 1692"
"Lettres ministérielles, 2 février 1692"
"Lettres ministérielles, 20 février 1692"
"Lettres ministérielles, 21 juin 1692"
"Lettres ministérielles, 23 février 1692"
"Lettres ministérielles, 23 janvier 1692"
"Lettres ministérielles, 23 juin 1692"
"Lettres ministérielles, 24 février 1692"
"Lettres ministérielles, 25 janvier 1692"
"Lettres ministérielles, 26 janvier 1692"
"Lettres ministérielles, 27 février 1692"
"Lettres ministérielles, 28 février 1692"
"Lettres ministérielles, 3 juin 1692"
"Lettres ministérielles, 30 janvier 1692"
"Lettres ministérielles, 30 juin 1692"
"Lettres ministérielles, 4 juin 1692"
"Lettres ministérielles, 6 février 1692"
"Lettres ministérielles, 9 février 1692"
"Edits et ordonnances, Versailles, 12 août 1693"
"Edits et ordonnances, Versailles, 15 juillet 1693"
"Edits et ordonnances, Versailles, 30 septembre 1693"
"Lettres ministérielles, 10 janvier 1693"
"Lettres ministérielles, 10 juin 1693"
"Lettres ministérielles, 11 juillet 1693"
"Lettres ministérielles, 12 janvier 1693"
"Lettres ministérielles, 13 mai 1693"
"Lettres ministérielles, 14 janvier 1693"
"Lettres ministérielles, 15 janvier 1693"
"Lettres ministérielles, 16 juin 1693"
"Lettres ministérielles, 16 mai 1693"
"Lettres ministérielles, 17 janvier 1693"
"Lettres ministérielles, 18 juillet 1693"
"Lettres ministérielles, 1er juillet 1693"
"Lettres ministérielles, 2 décembre 1693"
"Lettres ministérielles, 20 mai 1693"
"Lettres ministérielles, 21 janvier 1692"
"Lettres ministérielles, 21 janvier 1693"
"Lettres ministérielles, 21 juillet 1693"
"Lettres ministérielles, 27 juin 1693"
"Lettres ministérielles, 27 mai 1693"
"Lettres ministérielles, 29 juillet 1693"
"Lettres ministérielles, 3 janvier 1693"
"Lettres ministérielles, 31 janvier 1693"
"Lettres ministérielles, 4 avril 1693"
"Lettres ministérielles, 4 juillet 1693"
"Lettres ministérielles, 5 décembre 1693"
"Lettres ministérielles, 6 juin 1693"
"Lettres ministérielles, 6 mai 1693"
"Lettres ministérielles, 7 janvier 1693"
"Lettres ministérielles, 8 juillet 1693"
"Edits et ordonnances, Versailles, 15 décembre 1694"
"Edits et ordonnances, Versailles, 17 février 1694"
"Edits et ordonnances, Versailles, 2 juin 1694"
"Edits et ordonnances, Versailles, 31 janvier 1694"
"Edits et ordonnances, Versailles, 6 octobre 1694"
"Edits et ordonnances, Versailles, 7 août 1694"
"Lettres ministérielles, 10 juillet 1694"
"Lettres ministérielles, 10 mars 1694"
"Lettres ministérielles, 11 septembre 1694"
"Lettres ministérielles, 12 juillet 1694"
"Lettres ministérielles, 12 septembre 1694"
"Lettres ministérielles, 13 décembre 1694"
"Lettres ministérielles, 13 janvier 1694"
"Lettres ministérielles, 13 septembre 1694"
"Lettres ministérielles, 14 juillet 1694"
"Lettres ministérielles, 15 août 1694"
"Lettres ministérielles, 15 septembre 1694"
"Lettres ministérielles, 16 juin 1694"
"Lettres ministérielles, 17 juillet 1694"
"Lettres ministérielles, 17 novembre 1694"
"Lettres ministérielles, 19 décembre 1694"
"Lettres ministérielles, 19 juillet 1694"
"Lettres ministérielles, 1er décembre 1694"
"Lettres ministérielles, 1er septembre 1694"
"Lettres ministérielles, 2 juin 1694"
"Lettres ministérielles, 21 juillet 1694"
"Lettres ministérielles, 21 septembre 1694"
"Lettres ministérielles, 22 décembre 1694"
"Lettres ministérielles, 22 septembre 1694"
"Lettres ministérielles, 23 juillet 1694"
"Lettres ministérielles, 24 juillet 1694"
"Lettres ministérielles, 24 mars 1694"
"Lettres ministérielles, 24 octobre 1694"
"Lettres ministérielles, 24 septembre 1694"
"Lettres ministérielles, 25 décembre 1694"
"Lettres ministérielles, 25 janvier 1694"
"Lettres ministérielles, 25 juillet 1694"
"Lettres ministérielles, 25 septembre 1694"
"Lettres ministérielles, 26 avril 1694"
"Lettres ministérielles, 26 septembre 1694"
"Lettres ministérielles, 27 mars 1694"
"Lettres ministérielles, 28 juillet 1694"
"Lettres ministérielles, 28 septembre 1694"
"Lettres ministérielles, 29 décembre 1694"
"Lettres ministérielles, 29 septembre 1694"
"Lettres ministérielles, 3 juillet 1694"
"Lettres ministérielles, 3 mars 1694"
"Lettres ministérielles, 31 juillet 1694"
"Lettres ministérielles, 31 mars 1694"
"Lettres ministérielles, 4 décembre 1694"
"Lettres ministérielles, 4 septembre 1694"
"Lettres ministérielles, 5 décembre 1694"
"Lettres ministérielles, 5 juillet 1694"
"Lettres ministérielles, 5 octobre 1694"
"Lettres ministérielles, 5 septembre 1694"
"Lettres ministérielles, 6 décembre 1694"
"Lettres ministérielles, 6 mars 1694"
"Lettres ministérielles, 7 juillet 1694"
"Lettres ministérielles, 7 mai 1694"
"Lettres ministérielles, 8 décembre 1694"
"Lettres ministérielles, 8 septembre 1694"
"Edits et ordonnances, Marly, 12 octobre 1695"
"Edits et ordonnances, Marly, 14 mars 1695"
"Edits et ordonnances, Marly, 27 mai 1695"
"Edits et ordonnances, Marly, 29 octobre 1695"
"Edits et ordonnances, Marly, 30 mai 1695"
"Edits et ordonnances, Marly, 31 août 1695"
"Edits et ordonnances, Versailles, 1 février 1695"
"Edits et ordonnances, Versailles, 16 février 1695"
"Edits et ordonnances, Versailles, 9 février 1695"
"Edits et ordonnances, Versailles, 9 mars 1695"
"Notes, Gilles, François de Maupeou"
"Edits et ordonnances, Marly, 17 mars 1696"
"Edits et ordonnances, Versailles, 12 mai 1696"
"Edits et ordonnances, Versailles, 21 mai 1696"
"Edits et ordonnances, Versailles, mai 1696"
"Edits et ordonnances, Versailles, 18 novembre 1697"
"Edits et ordonnances, Versailles, 20 septembre 1697"
"Edits et ordonnances, Versailles, 27 novembre 1697"
"Edits et ordonnances, Versailles, 5 mars 1697"
"Edits et ordonnances, Versailles, 6 février 1697"
"Edits et ordonnances, Versailles, 9 octobre 1697"
"Edits et ordonnances, Marly, 20 août 1698"
"Edits et ordonnances, Versailles, 1 février 1698"
"Edits et ordonnances, Versailles, septembre 1698"
"Edits et ordonnances, Versailles, 22 septembre 1699"
"Edits et ordonnances, Versailles, 31 mars 1699"
"Edits et ordonnances, Versailles, 5 décembre 1699"
"Edits et ordonnances, Versailles, 16 février 1700"
"Edits et ordonnances, Versailles, 21 septembre 1700"
"Edits et ordonnances, Versailles, 24 février 1700"
"Edits et ordonnances, Versailles, 8 juillet 1700"
"Notes, Pierre-Eutrope"
"Notes, Biographie de la Charente Inférieure (Aunis et Saintonge)"
"Notes, Une colonie féodale en Amérique"
"Notes, Abraham Duquesne"
"Notes, Aubinot, Louise"
"Notes, Des Clouzeaux, Hubert de Champy"
"Notes, Duport, Abraham"
"Notes, Gaalon de"
"Notes, Grenon, Louis"
"Notes, Henry, Henri Pourtal"
"Notes, Honoré, Lucas"
"Notes, Les Danezay"
"Notes, Mademoiselle de Jonzac"
"Notes, Martial de Foenix"
"Notes, Michel, Bégon"
"Notes, Michel, Isaac"
"Notes, Olympe de Caichault"
"Notes, Patoulet, Jean-Baptiste"
"Notes, Pinmuré, Richard"
"Notes, Seignette"
"Notes, Vauvré, de Louis-Girardin"
"Notes, Victor Marie comte d'Estrées"
"Acadie, Canada, Plaisance"
"Africain, l'"
"Agathe, l'"
"Aigle, l'"
"Aimable, l'"
"Amphitrite, l'"
"Assiente, compagnie de l'"
"Atalante, l'"
"Chancelier, le"
"Cowentry, le"
"Dame Clasina, la"
"Deux frères, les"
"Duchesse de Berry, la frégate la"
"Duverdet, la nommée"
Esmon
Etienne de Champflour
"Farcot, Elisabeth"
Fille
Fonteneau
"Francy, sieur de"
Fremy
"Gache, Pierre"
"Galathée, la"
"Gannes, sieur de"
Garde-côte
"Gaulier, Louis"
"Gaulin, Marie-Thérèse"
"Gautier, Alexandre"
"Geay, Marthe"
"Geoffroy, Marion"
"Germé, frères"
"Grasse, mademoiselle de"
"Grimouville, sieur de"
"Grootes, Henry"
"Guetteau, sieur de"
"Hermione, la frègate l'"
"Jeune Abraham, la flûte"
"Joyaux, Abraham"
L'Estry
L'Hostellier
"La Ronde Denis, sieur de"
"Labellefont, dame "
"Laboularderie, Girardin de"
"Labriffe, monsieur de"
"Lachevalerie de la Mothe, sieur de"
"Laclocheterie, madame"
"Laclocheterie, sieur de"
"Lagalissonnière, sieur de"
"Lahautemaison, sieur de"
"Lahoche, Antoine de"
Lamare de Can
"Lamoinerie-Miniac, sieur de"
"Lamothe, madame de"
"Lanion, monsieur de"
"Lanoue, sieur de"
"Lapoupelière, sieur de"
"Larochalard, sieur de"
"Laroche Brochard, madame de"
"Laroche Saint-André, sieur de"
"Laroque Persin, sieur de"
"Laroullais, sieur de"
"Lasse, sieur de"
"Launay, madame de "
"Laur, chevalier de "
"Laur, comte de"
"Lavoux, sieur de"
"Lechat, Jacques"
"Lemayrat, alias le Mairat ou le Mayrat"
"Létenduère, sieur de"
"Logivière, de"
"Loppinot, Jean-Chrysotome"
"Lubert, Louis de"
"Lusançay, sieur de (alias Luzançay)"
"Malville, sieur de La Barberie de (alias Maleville)"
"Manquartier, François (alias Mancartier)"
"Marie, la"
"Martin, Louis"
"Martin, Nicolas"
Mauclerc du Péré
"Maupéou, chevalier de"
"Maure, le vaisseau le"
"Mereuil, sieur de"
"Mianne, sieur de"
"Miossens, comtesse de"
"Mitifeu, Jean"
"Modieu ,sieur de"
"Montholon, sieur de"
"Mothe, madame de (voir Lamothe)"
"Murat, sieur de"
"Naudin, Jean"
"Niorderie, mademoiselle"
"Noël, Philippe"
"Parage, sieur de"
"Percin, madame veuve de"
"Polignac, sieur de"
"Priée, sieur de"
"Prince, le vaisseau le "
"Rambault, la Nommée"
"Raymond, chevalier de"
"Reals, madame Fénelon de"
"Remond de Villognon, chevalier de"
"René, la frégate le"
"Ronsay, sieur de"
"Rousseau, dame"
"Sabran-Montblanc, chevalier de"
"Saint-Cristophe, le "
"Saint-Louis, le navire"
"Saint-Simon, sieur de"
"Saint-Vincent, sieur de"
"Saujon, chevalier de"
"Sougé, dame de"
"Subercase, monsieur de"
"Surgères, vicomte de"
"Talleyran, comte de"
"Tenville, sieur de"
"Tisné, sieur de"
"Vaudreuil, Philippe de Rigaud marquis de"
"Vaulxminars, sieur de"
"Vilennes, sieur de"
"Vrevins, marquis de"
"Baron de la Fauche, le navire le"
"Cavalier, le"
"Charente, la flûte la "
"Chasseur, le vaisseau le"
"Cheval volant, le"
Courpignac
"Durousset, Dame"
"Dusablé, veuve et sa mère"
Duthoya
Fénélon
Ferrié
"Fichon, Pierre"
"Fortune de Hambourg, la"
"Fouras, sieur de"
"Fourment, Chevalier de"
"Friquet, Dame"
"Galant, le vaisseau le"
Galet
"Galocheau, Marie"
"Gardet, veuve"
"Garnier, Jean"
"Gautier, l'Abbé"
"Gillet, Jean"
"Glénisson, la nommée"
Gourreau
"Gourville-Tivas, sieur de"
"Grande Bretagne, la"
"Grenon, père et fils"
"Griffon, le"
"Guerville, Poulain de"
"Guichet, Marie"
"Guymet, Charles"
"Hampton, la flûte le"
"Hartogue, Corneille de"
"Hazeur, Pierre"
"Heen, de"
"Hérault, Nicolas"
"Herry, Sarah dite Du Plessis"
Huet de Vendonne
"Labastide, sieur de"
"Labastierre, Doriveau de"
"Labelette, comte de"
"Laboissière-Fénis, sieur de"
"Laborde, Jean de"
"Laboularderie, sieur de"
"Lachassaigne, sieur de"
"Lachesnaye, sieur de"
"Lacourtaudière, sieur de"
"Lafaye, Pierre"
"Lafilière, sieur de"
"Lagrange-Chancel, sieur de"
"Lagrange, sieur de"
Lagrifoüil
"Lamorillière, Promeret de"
"Lamothe d'Eyran, sieur de"
Lapigeonnière des Chandeliers de
"Larigaudière Froger, sieur de"
"Larivagerie, Viette de"
"Laroche Courbon, demoiselles de"
"Lartaignac, sieur de"
"Laruffinière, Thébaud de"
"Lasalle, chevallier de"
"Latour, dame de"
"Laur, baron"
Lavau Saint-Etienne
"Ledantec, Bernard"
"Leroux, veuve"
"Lescorce, sieur de"
"Letur, sieur de"
"Lignon, de"
"Lionsac, monsieur de"
"Lisle, madame de"
"Longueuil, sieur de"
"Louise, la frégate la"
"Machors, l'abbé"
"Machoy, l'abbé (voir Machon)"
"Marigny, chevalier de"
"Marolles, sieur de"
"Massey,Fr.-Thérèse"
"Massiot, veuve"
"Maudin, Jean dit l'Espérance"
"Maule, Logivière de"
"Meillat, Nicolas dit Sans-Crainte"
"Menou, frères"
"Mesle, l'abbé"
"Montsoreau, comte de"
"Morat, François dit Saint Louan"
"Mornac, comte de"
"Mouchard ,veuve"
"Navarrot, Jean"
"Nezereau, veuve Massiot"
"Nieuport, le vaisseau le"
"Noé, chevalier de"
"Nolinos, sieur de"
"Noré, demoiselle de"
"Noyan, Chavry de"
"Paon, la frégate le "
"Providence, la"
"Putigny, chevalier de"
"Reals, sieur de"
"Richard, veuve"
"Richebourg, monsieur de"
"Rozel, marquis"
"Saint-Abre, sieur de"
"Saint-Jean-Evangéliste, le vaisseau le"
"Saint-Louis, la frégate"
"Saint-Maure, marquis de"
"Saint-Père, dame de"
"Saumery, comte de"
"Savonnière, sieur de"
"Serigny, sieur de"
"Serpault, veuve (alias Serpaud)"
"Sourant, la nommée"
"Talmont, prince de"
"Torcy, veuve du sieur de"
"Tréhard, dame (Françoise Chartier)"
"Trency de Charmail, sieur de"
"Vauzelard, sieur de"
"Vieulle, marquis de"
"Vieuxville, marquise de"
"Brutal, le vaisseau le"
"Dragon, le brûlot le"
"Duroulet, Demoiselle"
"Entreprise, l'"
"Fortunezay, Brigaud de"
"Fourneau, Jacques"
"François d'Assise, le vaisseau le"
"Frappé, Pierre"
"Gabet, mademoiselle"
"Gaudy, Jean"
"Gennes de Bourchevreuil, sieur de"
"Gibanel, sieur de"
"Grailly, Chevalier de"
Granchamp
"Green, demoiselle"
"Grivolière, sieur de"
Guesne
"Guibaud, Samuel"
"Henry, frère"
"Illustre, le ponton l'"
"Juste, le vaisseau le "
"Labarberye-Malville, sieur de"
"Labarbinays, sieur de"
"Labonnemelle, sieur de"
"Laborde, mademoiselle de"
"Labrunière, sieur de"
"Lachesnaye, le cadet"
"Lafon, François"
"Lagarde-Jazier, sieur de"
"Lagastiènière, sieur de"
"Lagrange, Beausire de"
"Lahante, dame de"
"Lamainferme, demoiselle de Laborde"
"Lamorlière, sieur de"
"Lange, Julien"
"Laplace, Puiguerant de"
"Laporte, sieur de"
"Lapoupelière, veuve"
"Laronce, sieur de"
"Lasausaye, chevalier de"
"Laserre, madame"
"Latour, Jacques de"
"Lauzon, veuve de"
"Laval, chevalier"
Leclerc-Duguerteau
"Lefébure, Marie"
"Legourd, André"
Lepine-Danican
"Lumeau, Marguerite"
"Lusignan, madame veuve"
"Mainguin, Jacques"
"Mareuil, dame de"
Marigny
"Marois ,Elisabeth"
"Méneleau, Jean"
"Meunier ,Jean"
"Minvielle, sieur de"
"Monthulé, de"
"Mounier, Jean"
"Pompadour, monsieur de"
"Regnault, veuve"
"Reine d'Espagne, le vaisseau la"
"Rohan, prince Constantin de"
"Saint-Abre, chevalier de"
"Saint-Fort, mademoiselle de"
"Saint-Michel, veuve Charlotte de"
"Saint-Ovide, sieur de"
"Simonnet, sieur de"
"Tonty, sieur de"
"Vassé, marquis de"
"Veronneau, dame"
"Vierge de Grâce, le vaisseau la"
"Vigny, chevalier de"
"Faurès, Antoine"
"Fontaine, François"
"Gastebois, demoiselle"
"Gautier, Louis"
Geneteau
"Godefroy, Henry"
"Gombaud de La Croix, demoiselle"
"Grandmaison, la nommée"
"Grandpré, monsieur de"
"Guillard, Gilles"
"Guillemin, Esther"
"Guillyn, Norbert"
"Gusman, Fernando"
"Jaboin, Sarah"
"Jacob, Thomas"
"Junon, le vaisseau la"
L'Hermitte
"Labossaye, Jean de"
"Lacapmesure, sieur de"
"Lacetièrre, Florent de "
"Lachasseraye, sieur de"
"Lachauverie, monsieur de"
Lacherpenterie
"Laguignardière, Bardon de"
"Lamadeleine, sieur de"
"Lamalmaison, monsieur de"
"Lamothe-Cadillac, sieur de"
"Lamothe-Guérin, sieur de"
"Larichardière, sieur de"
"Laroche Hercule, sieur de"
"Latour, Pierre"
"Lebigot, Jacques"
Leroy de la Potterie
"Lescot, Jean"
"Ligondez, sieur de"
"Macarel ,Jean"
"Marcillac, sieur de (alias Marsillac)"
Martin de Fonclose
"Masson ,dame"
"Mauzé, Gabriel"
"Montlaur, chevalier de"
"Montrioux, chevalier de"
"Montviel, chevalier de"
"Nogent, sieur de "
"Pesclavé, sieur des bois"
"Pesseville, sieur de"
"Pionsac, sieur de (alias Pionsat)"
"Pontchartrain, comte de"
"Prince des Asturies, le vaisseau le"
"Réalt, sieur de"
"Rimbertut, sieur de"
"Saint-Antoine, le navire le"
"Saint-Gelais, marquis de"
"Saint-Joseph, le"
"Saint-Pierre, la flûte hollandaise le"
"Sainte-Colombe, monsieur de"
"Sainte-Marthe, sieur de"
"Simonnet, sieur de La Grossinière"
"Soubras, monsieur de"
"Spiet, sieur de"
"Valigny, sieur de"
"Vandé, veuve du Sieur"
"Découverte ,la"
"Duranteau, la nommée"
"Fournier, Jean-Pierre"
"Froulay, sieur de"
"Gouchon, Suzanne"
"Groizeau, Jean"
"Guillou, Pierre"
"Kerderf, madame Richer de"
"Labretèche, mademoiselle"
"Labruyère du Coudray, sieur de"
"Lacité-Danican, sieur de"
"Langeville ,Daudibert de"
"Langlais, Daniel"
"Lapommeraye, sieur de"
"Laporte, seigneur"
"Lasalle Vaumondois, sieur de"
"Lasuze, sieur Réverend de"
"Lavieuville, demoiselle"
"Leclerc, veuve"
Lefêvre de Chasseray
"Lespinay, sieur de"
"Letac, Marguerite"
"Levaillant, Charles"
"Lion d'Or, le"
"Lopez de Paès, Antoine"
"Malvau, sieur de"
"Marie-Anne, la"
"Marie, François"
"Miraillet, demoiselles"
"Moreau, Hector"
"Moreau, Pierre"
"Morienne, dame"
"Mustelier, veuve"
"Neau, Charles"
"Nordink ,veuve"
"Orteaux, dame Elisabeth"
"Princesse, le vaisseau la"
"Reverdy, sieur de"
"Richer, dame"
"Saint-Gilles, le "
"Saint-Paul-de-Pont, le vaisseau le "
"Sainte-Hermine, chevalier de"
"Santis, monsieur de"
"Sartre-Vacquerot, sieur de"
"Savary, demoiselle"
"Tourlandry, chevalier de"
Compagnie de l'Assiente
Garde Côtes
Hygiène et Médecine navales
Officiers et Gardes de la Marine
"Vierge de Grâce, la frégate la"
Compagnie d'Occident
Compagnie de la Louisiane
Réjouissances Publiques
"Aix, ile de"
"Achille, le vaisseau l'"
Aimard
Allard-Belin (alias Allard-Blain)
Angeau
Arnou
"Augustin de Sainte-Monique, le Père"
Aurain (alias Aurin)
Babaud (alias : Babeau)
Bailleur
Baqueville
"Barat, Pierre"
"Barbereau, Pierre"
Bardou-Deshayes
Bargeaud
"Baros, Gilbert"
"Barrailh, M. de"
"Barry, Jean"
"Barson, François, dit Des Lauriers"
"Beauharnais de Beaumont, sieur de"
"Beauharnais de Beauville, sieur de"
"Beauharnais, M. de"
"Beaulieu, la nommée"
Beaumeine
Belet de Chandevain
"Bellisle, sieur de"
Benoist (alias : Benoît)
"Bertaud, Jean, dit La Bertèche"
"Bertauld, dit La Rivière. "
"Bertauville, sieur de"
Bigot de La Mothe
"Bizet, Renaut"
"Blackonal, le vaisseau le"
"Blain de Cormiers, Michel"
"Boispinault, M. de"
"Boissieux, sieur de"
"Bonamy, Louis"
"Bonvoust de Pruslay, sieur de"
Bordegaraye
"Boré, Ferdinand, dit La Fontaine"
"Boujonnier, Charles de"
"Boulainvilliers, monsieur de"
Bourdin
Boursault de Blaye
"Boutellier, frères"
"Bréda de Trossy, sieur"
"Bretauville, sieur de (alias : Bretanville)"
Brière
Bruère
"Buat, Edmond"
Callandre (alias : Calandre)
Calvimont de Blanca (alias : de Trancart)
"Cartier, René"
Cassou
Chabot (voir : Cabot)
"Chambon, André"
"Champigny, Louis-François Moufle de"
"Chancelier, Armand"
"Charlot, le jeune"
"Charmencie, sieur de"
"Chasseur, le"
Chassinat des Godinières
"Chateaumorant, sieur de"
Chauvegrain
"Chavagnac, M. de"
Chevereau
"Chevery, sieur de (alias : Cheverry)"
"Choiseul, chevalier de"
"Chottard, Elie"
"Cochon-Dupuy, Jean"
"Cogny, sieur de"
Colbert-Saint-Mar
"Conflans d’Enancour, sieur de"
"Conteneuil, sieur de"
"Content, le vaisseau le"
"Coulomb, Blaise"
"Coulomb, veuve"
"Courant, demoiselle"
"Cousage (Consage) de La Rochefouchaut, vicomte"
"Couture, Jean, dit La Fumée"
Cremont
"D’Agrain, comte"
"D’Albon, Lefèvre"
D’Audiffrédy
D’Escoyeux-Fouras
D’Hirbonde
Dalirol
Daliveau
"Dastugues (alias : Dastug), Dominique et Jacques"
"Daunac, Nathanaël (alias Daunat)"
"Delabre, Louis, dit Saint-Martin"
Descoublan de La Rougerie
"Desgouttes, comte"
Deslauriers
Desmas
"Deygua (alias : Deigua, Deigna)"
Didon-Messac
Docher
Dufay d’Exoudun
Dumesnil-Saint-Georges
"Dumesnil, Antoine"
Dumont-La Brie
Dumontagnac
Dupuy (voir : Cochon Dupuy)
"Duras, duc de"
Dusautoy
Dutemple de Rex (alias : Le Temple de Rex)
"Dutrec, Georges"
Duval-Lablaivie
"Elisabeth, le navire l'"
Estienne
"Fauconnet, Joseph"
"Fénis, sieur de (alias : Fenix)"
Feuilleteau
"Feuquières, chevalier de"
Fieuzal
"Fondelin, M. de"
"Forcez, de"
"Forestier, Mathurin"
Fossié
Foubert
"Fouilleuse, de"
"Foulon, Toussaint"
"Fourest, Mathieu"
"Franc, Pierre"
"Françoise, la"
Frère de La Pommeray
Gabaret de Lamothe
"Gachet, Simon"
Gachinard (alias : Gachinart)
"Galand, François (alias : Galant)"
"Galathée, le ponton la"
"Garnier, Nicolas"
"Garonne, la"
"Gassion, de"
"Gelinard, André"
"Geneviève, la"
"Géraldin, de"
"Gertrude, la flûte la"
Geslain (alias : Geslin)
Gibanel
Gibert
Giraud de Salles
Giraudeau
"Gotteville, de"
"Gouye, le père jésuite"
"Gressier, Hubert"
"Groisisle, de"
"Guéguen, Guillaume"
"Guibert, Jean"
"Guillot, Pierre"
"Hansen, Pierre"
"Herbereau, Noël"
"Heureux Retour, le"
Hibre
Hocquart de Champargny
"Infante d’Espagne, L’"
"Jarnac, comte de"
"Jevardat, Félix, sieur Desmoulins"
Joneau
"Joyeux, de"
"Karrer, colonel de"
"L’Epinay, de"
L’Epineau (alias : L’Epinau)
"L’Estanche, de (alias : L’Etanche)"
L’Etanduère
"L’Etanduère, de (alias : L’Etenduère)"
"Labernardais, de"
Labretesche (alias : La Bertèche)
"Labretesche (alias : La Bertèche), Jean-Bertrand"
"Labruère de Condré, sieur de"
"Lacroix, Abraham"
Lafillard
"Lafrégonnière, de"
"Lahoussaye, de"
"Lalande, de"
Lalumière
"Lamirande, de"
Lamothe
"Lamothe, Bigot de"
"Lamotte d’Eyran, de"
Langerie
Lanouiller (alias : Lanouillier)
"Larigaudière, Froger de"
"Larivagerie, de"
"Laroulais, de"
"Laruffinière, de"
"Latour, de"
Le Croisic
Lebelec
Lefèvre d’Albon
Lemeyrat (alias : Le Mairat et Le Mayrat)
"Lemot, Jacques"
Lepoupet de La Boularderie
"Leroux, Anne, veuve Carrère"
Letemple de Rex
Leturc
"Liepvre-Desgutz, mademoiselle de"
Lioncel
Loradon
Malicornet (alias : Malicornay)
"Malicornet, de"
"Mallevault, de (alias : Malvau, Maluau)"
"Mariol, de"
"Marthou, de (alias : Marthon)"
"Mathias, Pierre, dit Chevalier"
Maugé
"Mazarin, duc de"
Mazoulière
"Méchin, de"
"Médecine navale, hôpital"
"Meneson, Claude"
Meunier
"Mézy, de"
Michor
Millon (alias : Milon)
Molet
"Monseignat, de"
"Montagnac, de"
"Montgon, M. de"
"Montholon, M. de"
"Montpensier, mademoiselle de"
"Montrioux, de"
Mousson
"Moyencourt, de"
"Naudeau, Louis, dit Lacroix"
"Neau, Pierre"
Odon des Gouttes
Ollivier (alias : Olivier)
Paillet
"Peaudière, de"
Pélerin
"Percies, madame et sa fille"
"Perey, de"
"Perrochaux, André"
"Perron, Jean"
Perroteau de Boisjulien
"Picot, Jean"
"Pin, Pierre"
"Pomme Dorée, la flûte la"
Pommeret
"Pons, de"
"Pontgibaud, de "
"Pontmarois, de"
"Pousauge, monsieur de"
"Poyen, Suzanne"
"Pradines, mademoiselle de"
"Pressé, Hyacinthe-Olivier"
Prêteseille
Ramezay de la Gesse
Raussain
"Réals, de"
"Rebecou, Jacques"
"Relif, J. Ph. Dit Desmarais"
"Retif, J. Ph. [Jean-Philippe] dit Desmarais"
"Retif, J. Ph. Dit Desmarais"
"Reynol, monsieur de"
"Ricouard, monsieur de"
"Rochalar, de"
"Roger, Louis"
"Rondeau, Simon dit Saint-Vivien"
"Rouillé, demoiselle "
Royer
"Rupal, Jean"
Sabouret
"Saint-André, de"
"Saint-Antoine, le"
Saint-Bedon
"Saint-Cyr, de"
"Saint-Domingue, le navire"
"Saint-Hubert, de"
"Saint-James, de"
"Saint-Jean, le navire le"
"Saint-Léger-la-Sausaye, chevalier  de"
"Saint-Léon, de"
"Saint-Maurice, de"
"Saint-Ovide, de, de Brouillon"
"Sainte-Maure, marquis de"
"Salahun, André"
Salanave
Salles
"Saujon, de"
"Savalette, Jean"
"Selle, comte de"
Serain
Sevene
"Sorel, marquis de"
"Soubras, de"
"Tadourneau, Pierre"
"Tagelard, Jean "
Terrilier
"Tilly, de"
"Tonty, de"
"Turles, de"
Vallée
"Vals, de"
"Vaquerolles, de"
Varrieu
"Vaudreuil, comte de"
"Vaudreuil, marquis de"
"Vendosme-Huet, de"
"Venier, de"
Almain (alias Alman)
"Argonaute, la frégate l'"
Augé
"Barillon, Étienne"
"Baudry, M. de"
"Beaumont-Beauharnais, M. de"
Beauneveu
"Bejaac, marquis de"
Belervaux
Bergouniun
Bert de la Bussière
Berthon
"Berwick, Jacques, Fitz-James, duc de Fitz-James, de Berwick, de Liria et de Herica…"
Bidal
"Bonnaventure, le Père"
Bonnier
Borniolle
Bras
"Bréan, dame"
Briamant
Bruneau
"Bruslé, Jean, et la veuve Pascaud"
Cabot (alias : Chabot)
Cailloud
Carcy
"Carlouet, veuve"
"Carreau, Jean"
"Castelnau, sieur de"
"Champigny, M.de"
"Champmeslin, M. de"
"Chatte, M. de"
Chaulon
"Chauvin, Joseph"
Clairin des Lauriers
Conté de La Grange
"Costebelle, M. de"
"Courbon, chevalier de"
"Courcy, sieur de"
Crasse
"Cresnié, Jacques"
"Crespeau, Étienne"
D’Amblimont
"D’Antin, duchesse"
"D’Obterre, comte"
D’Odon
"Dailleboust de Saint-Vilmé, sieur de"
Daine
"Dargenteuil, madame"
Daunas
Des Barres
