nom,type,ID
D'Iberville,P,P2623
"D'Infreville, Le chevalier",P,P2628
D'Ormesson,P,P2641
"D'Osmont, Le chevalier",P,P2645
Dagnonterras,P,P2655
Dandennes,P,P2689
"Danezay (alias Danezey), Demoiselles",P,P2690
"Dangeau, Marquis de",P,P2691
Danguy,P,P2698
Daniaud,P,P2700
"Dans, d'Hautefort",P,P2713
Dantragues,P,P2714
Dapremont,P,P2720
Darcambal,P,P2726
Darrieux,P,P2739
Daubarède,P,P2751
Daumont,P,P2767
Daverluy,P,P2774
David,P,P2777
Decamp,P,P2795
Dedoit,P,P2806
"Degascq, Blaise",P,P2811
"Degeat, Demoiselle",P,P2814
"Degremont, Antoine",P,P2817
"Deguerry D'Aumont, Le chevalier",P,P2818
Delacombe,P,P2826
Delacourt,P,P2834
Delacroix,P,P2835
Delafontaine,P,P2839
Delagarde,P,P2842
Delagny,P,P2846
Delisle,P,P2872
"Delisle, Sieur de",P,P2873
Dellerac,P,P2875
Deloche,P,P2877
Delorme,P,P2879
Demezi,P,P2889
Demuin,P,P2893
"Denonville, M. de",P,P2901
"Depont, Sarah",P,P2905
Déragny,P,P3646
"Desadrets, Le chevalier",P,P2929
Desanges,P,P2934
Desarcis,P,P2938
"Desaugiers, Le chevalier",P,P2940
Descartes,P,P2953
Deschauffours,P,P2967
Deschiens,P,P2969
Deschillais,P,P2970
"Desclouzeaux, Hubert de Champy",P,P2974
Descoyeux,P,P2982
Desfontaines,P,P2992
Desglereaux,P,P3001
"Desgoutières, Le chevalier",P,P3005
Desgouttins,P,P3013
Desgranges,P,P3014
Desgrassières,P,P3015
Desgua,P,P3020
Desherbiers,P,P3026
"Desherbiers, veuve",P,P3027
Desnos,P,P3054
Desnots,P,P3055
Desperbasque,P,P3061
Desperon,P,P3062
Desprez,P,P3070
Desursins,P,P3084
Devalles,P,P3088
"Devienne, Antoine",P,P3096
Deviliers,P,P3097
Deville,P,P3098
"Dido, Demoiselle",P,P3105
"Digoine, Le chevalier de",P,P3113
Dimanche,P,P3115
"Dirac, Sieur de",P,P3118
"Dode, Alexis dit La Feuillade",P,P3133
Dodun,P,P3135
Domergue,P,P3138
"Doncieu, Le chavalier",P,P3141
"Dorné, Jean",P,P3162
Dorogne,P,P3163
"Doson, Demoiselle",P,P3169
"Doustans, Demoiselle",P,P3180
"Douteau, Dame",P,P3182
Douzon,P,P3186
Drognon Terras,P,P3194
"Droguet, Louis",P,P3195
"Drouillard, Pierre",P,P3200
"Dubeignon, Henry Allaire",P,P3215
Dubois,P,P3217
Dubois de La Roche,P,P3221
Duboisneau,P,P3230
Dubouchet,P,P3233
Dubourry,P,P3243
Dubreuil,P,P3248
Dubreuil de Fonreaux,P,P3250
"Dubreuil, Alain",P,P3251
"Dubreuil, Madame",P,P3252
Dubreuillet,P,P3255
Dubrouillant (alias Du Brouillam),P,P3258
Dubuc,P,P3259
Ducasse,P,P3272
"Duchailloux, Antoine",P,P3278
"Duchastelet, Marquis",P,P3283
Duché,P,P3291
Duclerc,P,P3292
Dudresnay,P,P3316
"Dufay, Dixandun",P,P3323
Dufretoy,P,P3335
Duguay,P,P3348
Dugué,P,P3354
"Duhamel, Le chevalier de",P,P3359
Duhoc,P,P3362
Dulignon,P,P3373
Duloche,P,P3376
Dulyon (alias Dulion),P,P3379
Dumagnou,P,P3380
"Dumaine, Le Duc",P,P3383
Dumains,P,P3384
Dumaits,P,P3385
Dumartel,P,P3387
"Dumas, François",P,P3389
"Dumayne, Eléonore",P,P3393
Dumé d'Aplemont,P,P3430
"Dumesnil, Roland",P,P3400
"Dumont, Charles, sieur de Blaignac",P,P3416
Dumoulin,P,P3426
Dumoutier,P,P3429
Dunezat,P,P3434
Dunoguez,P,P3435
"Dupalais, Le Chevalier",P,P3437
Duparc,P,P3438
Dupaty,P,P3448
"Dupaty, Thibaud",P,P3449
Duperier,P,P3458
Duperrier,P,P3459
Dupille,P,P3464
"Duplessis-Liancourt, Le chevalier",P,P3482
Duplessis-Moreau,P,P3483
"Duplessy, Michel",P,P3484
Dupont de Veilleine,P,P3488
Dupontmarois,P,P3494
Duport,P,P3495
"Duport, Abraham et Etienne, frères",P,P3498
"Duprat, François et cie",P,P3504
"Dupré, François dit Belair",P,P3507
Duquesne,P,P3525
Durand,P,P3532
"Durand, veuve",P,P3545
Durepaire de Nayat,P,P3558
Duret,P,P3559
Durivau Huet,P,P3563
"Duroullet, Demoiselle",P,P3577
Duruau Pallu,P,P3581
Dusault,P,P3583
Dutartre,P,P3589
Dutast,P,P3590
Dutigné,P,P3598
Dutillet,P,P3599
Dutilleul,P,P3600
Duval,P,P3609
Duvalgris,P,P3615
"Duvignau (alias Duvigneau, Duvignaud)",P,P3629
Duville,P,P3634
Duvivier,P,P3636
"Duvivier, Thomas",P,P3639
"Duvivier, Veuve",P,P3641
"Encelin, Etienne",P,P3701
Escotières,P,P3711
"Estienne, Jean",P,P3720
Evêque de Saintes,P,P3728
Fabre,P,P3730
"Fabury, Sieur de",P,P3731
Faget,P,P3734
"Falaiza, Sieur de",P,P3739
Faucher,P,P3751
Faure,P,P3755
"Faureau, Demoiselle",P,P3764
