unittitle,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,sserie,serie,ssserie,atl,mf,dateD,dateF,ID,cID,aID
Argenton,343,421,,,,,,,,,,,,,,,,,,,,,,,,1,E,,80.0,26.0,1712,1712,P123,C609,MR1E
Argenton,867,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,81.0,27.0,1713,1713,P123,C610,MR1E81
Argenton,61,433,,,,,,,,,,,,,,,,,,,,,,,,1,E,,83.0,28.0,1713,1713,P123,C598,MR1E83
Argenton,406,459,483,793,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P123,C606,MR1E84
Argenton,89,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,85.0,30.0,1714,1714,P123,C608,MR1E85
Arnoul,22,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P143,C697,MR1E32
Arnoul,136,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,34.0,2.0,1690,1690,P143,C695,MR1E34
Arnoul,47,136,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,P143,C696,MR1E35
Arnoul,337,384,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1693,1693,P143,C698,MR1E36
Arnoul,269,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,67.0,19.0,1709,1709,P143,C699,MR1E67
"Banville, Sieur de",0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P297,C2196,MR1E32
"Baroire, le président de",0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P373,C2317,MR1E32
"Baugier, Edmé-Antoine",62,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P459,C2507,MR1E32
"Chateaurenault, François-Louis Rousselet",62,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P1988,C6691,MR1E32
"Chateaurenault, François-Louis Rousselet",95,99,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6702,MR1E32
"Chateaurenault, François-Louis Rousselet",112,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6694,MR1E32
"Chateaurenault, François-Louis Rousselet",153,157,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6701,MR1E32
"Chateaurenault, François-Louis Rousselet",178,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6703,MR1E32
"Chateaurenault, François-Louis Rousselet",210,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6692,MR1E32
"Chateaurenault, François-Louis Rousselet",221,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6693,MR1E32
"Chateaurenault, François-Louis Rousselet",251,263,271,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6703,MR1E32
"Chateaurenault, François-Louis Rousselet",276,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6700,MR1E32
"Chateaurenault, François-Louis Rousselet",280,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1988,C6695,MR1E32
"Chateaurenault, François-Louis Rousselet",149,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,33.0,2.0,1689,1689,P1988,C6696,MR1E33
"Chateaurenault, François-Louis Rousselet",747,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,P1988,C6697,MR1E35
"Chateaurenault, François-Louis Rousselet",473,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1694,1694,P1988,C6698,MR1E36
"Chateaurenault, François-Louis Rousselet",140,187,233,251,279,312,347,359,409.0,861.0,906.0,915.0,,,,,,,,,,,,,,1,E,,38.0,4.0,1696,1696,P1988,C6699,MR1E38
"Chateaurenault, François-Louis Rousselet",959,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,38.0,4.0,1696,1696,P1988,C6704,MR1E38
Colbert de Terron,5,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P2245,C7276,MR1E32
Colbert de Terron,103,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P2245,C7277,MR1E32
Colbert de Terron,277,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P2245,C7278,MR1E32
Comendo,0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,A67,C7807,MR1E32
D'Amfreville,51,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P2535,C9141,MR1E32
D'Amfreville,59,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P2535,C9142,MR1E32
"D'Estrées, Jean",27,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P2601,C9360,MR1E32
"D'Estrées, Jean",9,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,33.0,2.0,1688,1688,P2601,C9358,MR1E33
"D'Estrées, Jean",270,284,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1692,1692,P2601,C9359,MR1E36
"D'Estrées, Jean",352,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1693,1693,P2601,C9361,MR1E36
"D'Estrées, Jean",379,409,419,424,484,535,559,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1693,1693,P2601,C9357,MR1E36
"Desclouzeaux, Hubert de Champy",0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P2974,C10442,MR1E32
"Desclouzeaux, Hubert de Champy",79,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P2974,C10445,MR1E32
"Desclouzeaux, Hubert de Champy",5,212,,,,,,,,,,,,,,,,,,,,,,,,1,E,,34.0,2.0,1690,1690,P2974,C10446,MR1E34
"Desclouzeaux, Hubert de Champy",18,114,133,136,210,266,319,325,375.0,608.0,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,P2974,C10447,MR1E35
"Desclouzeaux, Hubert de Champy",102,273,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1692,1692,P2974,C10448,MR1E36
"Desclouzeaux, Hubert de Champy",292,309,401,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1693,1693,P2974,C10449,MR1E36
"Desclouzeaux, Hubert de Champy",198,362,404,500,537,873,901,915,919.0,947.0,953.0,,,,,,,,,,,,,,,1,E,,38.0,4.0,1696,1696,P2974,C10450,MR1E38
"Desclouzeaux, Hubert de Champy",67,73,107,123,296,383,407,,,,,,,,,,,,,,,,,,,1,E,,39.0,5.0,1697,1697,P2974,C10451,MR1E39
"Desclouzeaux, Hubert de Champy",436,519,523,644,,,,,,,,,,,,,,,,,,,,,,1,E,,39.0,5.0,1697,1697,P2974,C10443,MR1E39
"Desclouzeaux, Hubert de Champy",19,100,150,189,206,215,277,299,532.0,,,,,,,,,,,,,,,,,1,E,,40.0,5.0,1697,1697,P2974,C10443,MR1E
"Desclouzeaux, Hubert de Champy",10,22,315,496,507,569,659,728,796.0,829.0,879.0,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,P2974,C10444,MR1E43
Dumé d'Aplemont,15,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P3430,C12038,MR1E32
Dumé d'Aplemont,43,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P3430,C12039,MR1E32
Dumé d'Aplemont,77,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P3430,C12037,MR1E32
Dumé d'Aplemont,81,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P3430,C12036,MR1E32
"Dupaty, Thibaud",1,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P3449,C12080,MR1E32
Foires,233,236,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,A130,C13996,MR1E32
"Jugné, Madame de",0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P5074,C17632,MR1E32
L'Aimable,37,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B303,C17844,MR1E32
L'Aimable,305,333,344,583,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,B303,C17839,MR1E35
L'Aimable,170,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1692,1692,B303,C17840,MR1E36
L'Aimable,861,905,915,,,,,,,,,,,,,,,,,,,,,,,1,E,,38.0,4.0,1696,1696,B303,C17841,MR1E38
L'Aimable,236,249,,,,,,,,,,,,,,,,,,,,,,,,1,E,,39.0,5.0,1697,1697,B303,C17842,MR1E39
L'Aimable,757,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,B303,C17843,MR1E43
L'Aimable,781,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,B303,C17845,MR1E43
L'Aimable,810,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,B303,C17847,MR1E43
L'Aimable,826,843,851,871,939,,,,,,,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,B303,C17846,MR1E43
L'Apollon,13,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B310,C17871,MR1E32
L'Apollon,129,133,143,147,,,,,,,,,,,,,,,,,,,,,,1,E,,34.0,2.0,1690,1690,B310,C17867,MR1E34
L'Apollon,690,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,B310,C17865,MR1E35
L'Apollon,118,171,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1692,1692,B310,C17866,MR1E36
L'Apollon,322,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,40.0,5.0,1697,1697,B310,C17864,MR1E
L'Apollon,344,351,387,399,426,,,,,,,,,,,,,,,,,,,,,1,E,,40.0,5.0,1697,1697,B310,C17870,MR1E
L'Apollon,209,591,618,,,,,,,,,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,B310,C17868,MR1E43
L'Apollon,651,663,677,728,765,,,,,,,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,B310,C17869,MR1E43
L'Aquilon,51,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B311,C17873,MR1E32
L'Aquilon,680,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,B311,C17872,MR1E35
L'Orgueilleux,13,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B348,C18059,MR1E32
L'Orgueilleux,133,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,34.0,2.0,1690,1690,B348,C18057,MR1E34
L'Orgueilleux,241,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,B348,C18058,MR1E35
La Maligne,63,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B377,C18284,MR1E32
La Maligne,336,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,B377,C18283,MR1E35
"Labarre, Antoine Lefebvre de",7,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P5237,C18647,MR1E32
"Laborde, Sieur de",63,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P5275,C18716,MR1E32
"Laborde, Sieur de",281,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P5275,C18717,MR1E32
"Langeron, Joseph Andrault Marquis de",57,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P5722,C19659,MR1E32
"Langeron, Joseph Andrault Marquis de",729,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,P5722,C19660,MR1E35
Languillet,0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P5741,C19720,MR1E32
Languillet,775,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,38.0,4.0,1696,1696,P5741,C19719,MR1E38
Languillet,930,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,38.0,4.0,1696,1696,P5741,C19718,MR1E38
Languillet,753,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,51.0,9.0,1704,1704,P5741,C19721,MR1E51
Le Fortuné,13,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B437,C20465,MR1E32
Le Fortuné,237,249,300,397,,,,,,,,,,,,,,,,,,,,,,1,E,,39.0,5.0,1697,1697,B437,C20466,MR1E39
Le Fortuné,159,188,209,241,253,385,,,,,,,,,,,,,,,,,,,,1,E,,40.0,5.0,1697,1697,B437,C20466,MR1E
Le Prince,51,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B475,C20563,MR1E32
Le Prince,583,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,B475,C20564,MR1E35
Le Sage,51,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B483,C20575,MR1E32
Le Saint-Louis,39,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B491,C20595,MR1E32
Le Saint-Louis,245,316,333,344,437,,,,,,,,,,,,,,,,,,,,,1,E,,35.0,2.0,1691,1691,B491,C20596,MR1E35
Le Saint-Louis,239,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,43.0,6.0,1700,1700,B491,C20597,MR1E43
Le Serpent,63,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B493,C20599,MR1E32
Le Tigre,7,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B499,C20618,MR1E32
Le Tigre,40,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B499,C20616,MR1E32
Le Tigre,57,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,B499,C20615,MR1E32
Le Tigre,162,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,B499,C20617,MR1E32
Le Tigre,186,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,B499,C20614,MR1E32
"Louvois, Le Marquis de",33,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P6506,C21731,MR1E32
Maniban,0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P6681,C22188,MR1E32
Rangeart,0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P8221,C27303,MR1E32
"Serpaut (alias Serpau, Serpaud, Serpault)",63,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P8997,C30072,MR1E32
"Serpaut (alias Serpau, Serpaud, Serpault)",483,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1694,1694,P8997,C30073,MR1E36
"Serpaut (alias Serpau, Serpaud, Serpault)",499,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1694,1694,P8997,C30074,MR1E36
"Serpaut (alias Serpau, Serpaud, Serpault)",524,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1694,1694,P8997,C30071,MR1E36
Thibaud Dupaty,1,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P9235,C30718,MR1E32
"Allaire, Louis",271,276,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P49,C326,MR1E32
"Allaire, Louis",69,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,74.0,23.0,1711,1711,P49,C313,MR1E74
"Allaire, Louis",69,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,74.0,23.0,1711,1711,P49,C329,MR1E74
"Allaire, Louis",3,374,,,,,,,,,,,,,,,,,,,,,,,,1,E,,81.0,27.0,1713,1713,P49,C312,MR1E81
"Allaire, Louis",416,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,82.0,28.0,1713,1713,P49,C312,MR1E82
"Allaire, Louis",217,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,83.0,28.0,1713,1713,P49,C310,MR1E83
"Allaire, Louis",43,200,,,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C314,MR1E84
"Allaire, Louis",49,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C323,MR1E84
"Allaire, Louis",53,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C327,MR1E84
"Allaire, Louis",104,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C328,MR1E84
"Allaire, Louis",202,254,302,342,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C321,MR1E84
"Allaire, Louis",406,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C311,MR1E84
"Allaire, Louis",651,653,,,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C325,MR1E84
"Allaire, Louis",740,782,,,,,,,,,,,,,,,,,,,,,,,,1,E,,84.0,29.0,1714,1714,P49,C319,MR1E84
"Allaire, Louis",539,595,,,,,,,,,,,,,,,,,,,,,,,,1,E,,86.0,31.0,1715,1715,P49,C318,MR1E86
"Allaire, Louis",560,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,86.0,31.0,1715,1715,P49,C322,MR1E86
"Allaire, Louis",567,596,,,,,,,,,,,,,,,,,,,,,,,,1,E,,86.0,31.0,1715,1715,P49,C324,MR1E86
"Allaire, Louis",632,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,86.0,31.0,1715,1715,P49,C316,MR1E86
"Allaire, Louis",649,668,,,,,,,,,,,,,,,,,,,,,,,,1,E,,86.0,31.0,1715,1715,P49,C320,MR1E86
"Allaire, Louis",698,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,86.0,31.0,1715,1715,P49,C315,MR1E86
"Allaire, Louis",484,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,86.0,31.0,1715,1715,P49,C317,MR1E86
"Baatz, Charles de",112,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P243,C2025,MR1E32
"Baatz, Charles de",263,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P243,C2024,MR1E32
"Barbaut, Jacques",111,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P319,C2233,MR1E32
"Barbaut, Jacques",155,275,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P319,C2232,MR1E32
Bardet de Boisneau,111,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P349,C2283,MR1E32
Beauregard,79,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P544,C2686,MR1E32
Beauregard,152,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,33.0,2.0,1689,1689,P544,C2687,MR1E33
Beauregard,283,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1693,1693,P544,C2688,MR1E36
Beauregard,363,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,113.0,46.0,1729,1729,P544,C2685,MR1E113
Belcier,111,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P595,C2902,MR1E32
Belcier,155,234,262,268,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P595,C2901,MR1E32
Bellinzani,137,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P633,C3018,MR1E32
Berthelot,114,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P754,C3294,MR1E32
Berthelot,160,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P754,C3295,MR1E32
Berthelot,357,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,33.0,2.0,1689,1689,P754,C3293,MR1E33
Bidé de La Granville,234,262,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P809,C3415,MR1E32
"Bleor, François Bitaud de",80,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P897,C3686,MR1E32
"Bleor, François Bitaud de",226,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P897,C3688,MR1E32
"Bleor, François Bitaud de",268,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P897,C3687,MR1E32
Boyer,163,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1268,C4573,MR1E32
Boyer,591,741,,,,,,,,,,,,,,,,,,,,,,,,1,E,,38.0,4.0,1696,1696,P1268,C4560,MR1E38
Boyer,642,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,39.0,5.0,1697,1697,P1268,C4548,MR1E39
Boyer,123,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,42.0,6.0,1700,1700,P1268,C4545,MR1E42
Boyer,251,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,52.0,10.0,1705,1705,P1268,C4547,MR1E52
Boyer,491,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,52.0,10.0,1705,1705,P1268,C4564,MR1E52
Boyer,36,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,57.0,13.0,1706,1706,P1268,C4554,MR1E57
Boyer,600,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,57.0,13.0,1706,1706,P1268,C4557,MR1E57
Boyer,975,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,65.0,18.0,1708,1708,P1268,C4558,MR1E65
Boyer,325,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,68.0,20.0,1709,1709,P1268,C4559,MR1E68
Boyer,289,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,70.0,21.0,1710,1710,P1268,C4561,MR1E
Boyer,525,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,76.0,24.0,1711,1711,P1268,C4563,MR1E76
Boyer,545,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,76.0,24.0,1711,1711,P1268,C4570,MR1E76
Boyer,455,615,643,,,,,,,,,,,,,,,,,,,,,,,1,E,,81.0,27.0,1713,1713,P1268,C4546,MR1E81
Boyer,189,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,85.0,30.0,1714,1714,P1268,C4565,MR1E85
Boyer,733,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,87.0,32.0,1716,1716,P1268,C4552,MR1E87
Boyer,161,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,95.0,36.0,1720,1720,P1268,C4572,MR1E95
Boyer,515,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,96.0,37.0,1721,1721,P1268,C4553,MR1E96
Boyer,351,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,102.0,40.0,1723,1723,P1268,C4562,MR1E2
Boyer,161,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,107.0,43.0,1726,1726,P1268,C4550,MR1E7
Boyer,365,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,107.0,43.0,1726,1726,P1268,C4556,MR1E7
Boyer,401,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,110.0,44.0,1727,1727,P1268,C4555,MR1E1
Boyer,183,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,111.0,45.0,1728,1728,P1268,C4566,MR1E111
Boyer,381,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,114.0,46.0,1729,1729,P1268,C4567,MR1E114
Boyer,139,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,115.0,47.0,1730,1730,P1268,C4568,MR1E115
Boyer,52,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,125.0,52.0,1736,1736,P1268,C4549,MR1E125
Boyer,55,59,,,,,,,,,,,,,,,,,,,,,,,,1,E,,125.0,52.0,1736,1736,P1268,C4569,MR1E125
Boyer,173,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,127.0,53.0,1737,1737,P1268,C4571,MR1E127
Boyer,77,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,128.0,54.0,1738,1738,P1268,C4551,MR1E128
"Breman (alias Brement), Michel",250,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1318,C4674,MR1E32
"Breman (alias Brement), Michel",327,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,36.0,3.0,1693,1693,P1318,C4675,MR1E36
Brodart,103,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1673,1673,P1383,C4822,MR1E32
