function	ID	cID	geogname
Personne	P8168	C29144	Rochefort
Personne	P8168	C29145	
Personne	P8224	C29220	
Personne	P9262	C33581	Marseille
Personne	P10428	C37994	
Personne	P10428	C37995	
Personne	P10428	C37996	
Personne	P10428	C37992	Treille, Toulon
Personne	P10428	C37993	Treille, Toulon
Personne	P10428	C37984	Lisbonne
Personne	P10428	C37985	Lisbonne
Personne	P10428	C37986	Rochefort, Brest, Toulon, Rochefort, Brest
Personne	P10428	C37986	Rochefort, Brest, Toulon, Rochefort, Brest
Personne	P10428	C37987	Rochefort, Brest, Toulon, Rochefort, Brest
Personne	P10428	C37990	Rochefort, Toulon
Personne	P10428	C37989	Rochefort, Toulon
Personne	P10428	C37988	Toulon
Personne	P10428	C37988	Toulon
Personne	P10428	C37991	Provence
Personne	P10639	C38597	
Personne	P24	C232	
Personne	P98	C570	
Personne	P98	C571	
Personne	P98	C572	
Personne	P354	C2455	La Rochelle
Personne	P387	C2515	
Personne	P495	C2790	Lagord, La Rochelle
Personne	P495	C2786	
Personne	P495	C2788	Canada, Dryage
Personne	P495	C2782	
Personne	P495	C2785	
Personne	P495	C2787	
Personne	P495	C2789	Gironde, Cayenne
Personne	P495	C2784	
Personne	P495	C2783	Cayenne
Personne	P596	C3028	Provence
Personne	P596	C3029	Provence
Personne	P1651	C5930	Saumur
Personne	P1651	C5931	
Personne	P1185	N2641	
Personne	P1185	N2642	
Personne	P1185	N2643	
Personne	P1185	N2644	
Personne	P1185	N2645	
Personne	P1255	C4920	Angers
Personne	P1255	C4921	Pons
Personne	P1853	C6593	La Rochelle
Personne	P1853	C6592	La Rochelle
Personne	P1922	C6754	Loire, Ciré, Ardillières, Rochefort
Personne	P1981	C6867	Champagne, Bosquet
Personne	P2009	C7092	Québec, France
Personne	P2009	C7093	Québec, France
Personne	P2009	C7094	
Personne	P2009	C7098	Canada
Personne	P2009	C7095	
Personne	P2009	C7096	
Personne	P2009	C7097	
Personne	P2009	N4331	
Personne	P2009	N4331	
Personne	P2009	N4332	
Personne	P2009	N4332	
Personne	P2009	N4333	
Personne	P2009	N4333	
Personne	P2188	C7664	
Personne	P2188	C7665	
Personne	P2188	C7666	
Personne	P2700	C10077	château de Lourdes
Personne	P2824	C10435	Mortagne
Personne	P2983	C10957	
Personne	P3102	C11306	Fontenay
Personne	P3102	C11305	Comté de Palluau
Personne	P3102	C11307	
Personne	P3102	C11304	
Personne	P3102	C11308	
Personne	P3176	C11463	Québec
Personne	P3421	C12303	
Personne	P3541	C12716	La Rochelle
