unittitle	function	ID
Chamillart, Le chevalier de	Personne	P1987
Chateaufort, Sieur de	Personne	P2168
Chevrières, sieur de	Personne	P2308
Clairambault	Personne	P2374
Coderk	Personne	P2441
D'Amont, Le chevalier	Personne	P2786
D'Estrées, Le Maréchal	Personne	P2853
D'Iberville	Personne	P2873
Danezay (alias Danezey), Demoiselles	Personne	P2947
Deguerry D'Aumont, Le chevalier	Personne	P3084
Delagny	Personne	P3115
Desarcis	Personne	P3216
Desherbiers	Personne	P3317
Desprez	Personne	P3365
Dode, Alexis dit La Feuillade	Personne	P3437
Dufretoy	Personne	P3651
Duvalgris	Personne	P3954
Feuquerolles, Sieur de	Personne	P4208
Forant, Madame	Personne	P4307
Forsan	Personne	P4332
Gaillard	Personne	P4525
Grosbois	Personne	P5067
Heurtin	Personne	P5330
Jolet	Personne	P5503
Labrousle, Sieur de	Personne	P5804
Lahéronnière, Sieur de	Personne	P6061
Lamaignère, Jean de	Personne	P6112
Lamonstre, Sieur de	Personne	P6165
Lamotte Gris, Sieur de	Personne	P6193
Lamotte Michel, Madame de	Personne	P6197
Landais	Personne	P6217
Laralde, Sieur de	Personne	P6325
Lareynie, M. de	Personne	P6342
Larochelongchamp, Madame de	Personne	P6396
Larochevezansay, Sieur de	Personne	P6397
Lavalminière, Sieur de	Personne	P6569
Lepeletier de Souzy	Personne	P6789
Loire, Marquise de	Personne	P6981
Lusignan, Sieur de (alias Luzignan)	Personne	P7113
Madec, Laurent	Personne	P7169
Maintenon, Madame de	Personne	P7204
Maret	Personne	P7323
Marias	Personne	P7333
Marin	Personne	P7351
Mariol	Personne	P7358
Martel, Dame de	Personne	P7403
Michel	Personne	P7685
Miossens, Madame de (alias Miossans)	Personne	P7724
Mithon	Personne	P7738
Montaumer, Sieur de	Personne	P7830
Monteil, Sieur de	Personne	P7847
Nelson	Personne	P8133
Nouet	Personne	P8240
Pachot	Personne	P8306
Perrault	Personne	P8499
Perrot	Personne	P8523
Piton (alias Pitton)	Personne	P8672
Poiney, M. de	Personne	P8702
Poulletier	Personne	P8801
Puymuré, Mademoiselle de	Personne	P8870
Roanez, Le chevalier de	Personne	P9178
Romegoux de Blénac	Personne	P9263
Sauvion	Personne	P9736
Sibourre	Personne	P9837
Soissons, Madame la comtesse de	Personne	P9882
Soubise, Mademoiselle de	Personne	P9903
Soufry, M. de	Personne	P9911
Tarragon	Personne	P10012
Ting	Personne	P10148
Vivier	Personne	P10636
Notes, Gilles, François de Maupeou	Personne	P8219
Albert, Jean	Personne	P33
Allaire Dubeignon, Henry	Personne	P47
André	Personne	P103
Apoil	Personne	P120
Ardouin	Personne	P133
Argoud	Personne	P139
Astier (alias Hastier)	Personne	P175
Aubry, Marie-Françoise	Personne	P196
Audebert (alias Audibert) de la Morinière, Théophile	Personne	P201
Audureau	Personne	P216
Bacher, Charles	Personne	P293
Bagneux, Sieur de	Personne	P297
Baptiste	Personne	P331
Barbot	Personne	P374
Bardreau	Personne	P398
Basville, Nicolas de Lamoignon	Personne	P475
Beaujeu, Le chevalier de	Personne	P575
Beaulieu	Personne	P580
Beaurepaire, Sieur de	Personne	P613
Beauvais, Sieur de	Personne	P626
Bellair, Sieur de	Personne	P678
Bellefonds, Sieur de	Personne	P689
Béreau, Pierre	Personne	P1688
Bergeron	Personne	P772
Berne	Personne	P796
Béroule, Sieur de	Personne	P1692
Besons, M. de	Personne	P869
Beurrey	Personne	P887
Binault	Personne	P941
Boireau, Jacques	Personne	P1031
Boisragon, Demoiselle de	Personne	P1074
Boisseau	Personne	P1088
Bonneau, Dame	Personne	P1150
Bonnegens, Sieur de	Personne	P1159
Bonnemort	Personne	P1167
Bouillet	Personne	P1264
Bouraud	Personne	P1291
Bourdet	Personne	P1295
Bourigaud	Personne	P1332
Bouvier, Jean	Personne	P1377
Breard	Personne	P1435
Bremant	Personne	P1446
Bretueil, M. de	Personne	P1469
Brossard des Broues	Personne	P1524
Broteau, François	Personne	P1532
Brouage	Personne	P1535
Brousson	Personne	P1542
Brunel, Benoît	Personne	P1557
Buirette	Personne	P1605
Burgauld	Personne	P1622
Busnot, Marie	Personne	P1630
Bussac, Demoiselles de	Personne	P1632
Cabanac, Sieur de (alias Cabanat)	Personne	P1703
Cabèce	Personne	P1714
Caillau	Personne	P1731
Candé	Personne	P1786
Capiau	Personne	P1795
Castain (alias Castaing)	Personne	P1858
Castaing, François	Personne	P1861
Caumartin, Louis-Urbain de	Personne	P1881
Chabert	Personne	P1930
Chabot	Personne	P1936
Chadefeau, Antoine	Personne	P1948
Chamblé	Personne	P1979
Chanlatte	Personne	P2025
Chanvry, Antoine	Personne	P2034
Charonnier	Personne	P2103
Charrier	Personne	P2110
Chasteauneuf	Personne	P2143
Chastelain, Dame	Personne	P2148
Chastillon, Sieur de	Personne	P2161
Chateauguillaume, Sieur de	Personne	P2171
Chateaumorant, de	Personne	P2175
chateauneuf	Personne	P10701
Chaumel	Personne	P2201
Chauveau	Personne	P2208
Cheise	Personne	P2256
Chevreuse, Duc de	Personne	P2305
Chevry, Marquis de	Personne	P2309
Chezant	Personne	P2314
Clérac, Sieur de	Personne	P2429
Cloche, Le Père	Personne	P2423
Colineau	Personne	P2471
Cotreau	Personne	P2575
Coulombe	Personne	P2597
Coulonge	Personne	P2603
Courbon, M. de	Personne	P2617
Courtois, Denis	Personne	P2662
Couyer des Palus, Demoiselle	Personne	P2694
Coyer, Demoiselle	Personne	P2695
Croissy, Charle-Joachim Colbert de	Personne	P2727
Culant, Sieur de	Personne	P2747
D'Ableiges, , Gilles-François de Maupeou	Personne	P2759
D'Ally	Personne	P2779
D'Armenonville	Personne	P2803
D'Aubterre, M. le Comte	Personne	P2817
D'aume, Jean	Personne	P2898
D'esguillon, Marie-Thérèse de Vignerot	Personne	P2900
D'Osmont, Le chevalier	Personne	P2895
Daniaud	Personne	P2957
Degascq, Blaise	Personne	P3076
Degeat, Demoiselle	Personne	P3079
Delagarde	Personne	P3111
Deloche	Personne	P3150
Depont, Sarah	Personne	P3180
Desanges	Personne	P3212
Descartes	Personne	P3232
Deschauffours	Personne	P3248
Desglereaux	Personne	P3288
Desgoutières, Le chevalier	Personne	P3295
Desgouttins	Personne	P3304
Desgrassières	Personne	P3306
Desursins	Personne	P3381
Devienne, Antoine	Personne	P3395
Deville	Personne	P3397
Dido, Demoiselle	Personne	P3405
Domergue	Personne	P3442
Doson, Demoiselle	Personne	P3473
Doustans, Demoiselle	Personne	P3485
Douteau, Dame	Personne	P3487
Drouillard, Pierre	Personne	P3506
Dubeignon, Henry Allaire	Personne	P3522
Dubois	Personne	P3525
Dubois de La Roche	Personne	P3526
Dubreuil de Fonreaux	Personne	P3558
Dubreuil, Alain	Personne	P3559
Dubreuil, Madame	Personne	P3560
Dubuc	Personne	P3569
Duchailloux, Antoine	Personne	P3588
Duhoc	Personne	P3680
Duloche	Personne	P3696
Dumaine, Le Duc	Personne	P3703
Dumartel	Personne	P3707
Dumesnil, Roland	Personne	P3722
Dunezat	Personne	P3761
Dunoguez	Personne	P3762
Dupaty	Personne	P3778
Duperier	Personne	P3787
Duperrier	Personne	P3788
Duplessis-Liancourt, Le chevalier	Personne	P3811
Duplessy, Michel	Personne	P3813
Duport	Personne	P3825
Duprat, François et cie	Personne	P3834
Durepaire de Nayat	Personne	P3892
Duroullet, Demoiselle	Personne	P3910
Dutigné	Personne	P3934
Duval	Personne	P3947
Duvivier	Personne	P3977
Encelin, Etienne	Personne	P4064
Falaiza, Sieur de	Personne	P4107
Faure	Personne	P4127
Favereau, Demoiselle	Personne	P4150
Ferroles, M. de	Personne	P4199
Forant, Mademoiselle	Personne	P4308
Forges, M. et Mme de	Personne	P4325
Fouger	Personne	P4359
Fresneau	Personne	P4434
Gabriau	Personne	P4509
